WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e
inapplicable,,,(inapplicable),None of the codes in the table are applicable in the context of this particular observation.
greatDepth,,,of great depth,Between 1000 and 3000 m below mean sea level
highAltitude,,,of high altitude,Between 1000 and 3000 m above mean sea level
lowAltitude,,,of low altitude,Between 100 and 300 m above mean sea level
middleAltitude,,,of middle altitude,Between 300 and 1000 m above mean sea level
middleDepth,,,of middle depth,Between 300 and 1000 m below mean sea level
shallowDepth,,,of shallow depth,Between 100 and 300 m below mean sea level
veryGreatDepth,,,of very great depth,Deeper than 3000 m below mean sea level
veryHighAltitude,,,of very high altitude,Higher than 3000 m above mean sea level
veryLowAltitude,,,of very low altitude,Less than 100 m above mean sea level
veryShallowDepth,,,of very shallow depth,Less than 100 m below mean sea level
