name,notation,description
National Focal Point,nationalFocalPoint,Responsible for WIGOS metadata in their country
Program Focal Point,programFocalPoint,Responsible for an observing program (possibly on a global scale)
Metadata Editor,metadataEditor,Responsible for maintaining and editing WIGOS metadata in OSCAR in their country
(unknown),unknown,unknown function
(inapplicable),inapplicable,inapplicable function
