notation,path ,name,description
,\Atmosphere\Aerosol\Composition\C5H12O4 (2‐methylerythritol),C5H12O4 (2‐methylerythritol),"IUPAC: (2R,3S)-2-methylbutane-1,2,3,4-tetrol, PubChem CID: 125094, CAS Number: 93921-83-6"
,\Atmosphere\Total atmospheric deposition\C5H12O4 (2‐methylerythritol),C5H12O4 (2‐methylerythritol),"IUPAC: (2R,3S)-2-methylbutane-1,2,3,4-tetrol, PubChem CID: 125094, CAS Number: 93921-83-6"
,\Atmosphere\Aerosol\Composition\C5H12O4 (2‐methylthreitol),C5H12O4 (2‐methylthreitol),"IUPAC: (2R,3R)-2-methylbutane-1,2,3,4-tetrol, PubChem CID: 11309539, CAS Number: n/a"
,\Atmosphere\Total atmospheric deposition\C5H12O4 (2‐methylthreitol),C5H12O4 (2‐methylthreitol),"IUPAC: (2R,3R)-2-methylbutane-1,2,3,4-tetrol, PubChem CID: 11309539, CAS Number: n/a"
,\Atmosphere\Aerosol\Composition\C5H12O5 (Arabitol),C5H12O5 (Arabitol),"IUPAC: (2R,4R)-pentane-1,2,3,4,5-pentol, PubChem CID: 94154, CAS Number: 488-82-4"
,\Atmosphere\Total atmospheric deposition\C5H12O5 (Arabitol),C5H12O5 (Arabitol),"IUPAC: (2R,4R)-pentane-1,2,3,4,5-pentol, PubChem CID: 94154, CAS Number: 488-82-4"
,\Atmosphere\Aerosol\Composition\C22H14 (dibenzo_ah_anthracene),C22H14 (dibenzo_ah_anthracene),"IUPAC: naphtho[1,2-b]phenanthrene, PubChem CID: 5889, CAS Number: 53-70-3"
,\Atmosphere\Total atmospheric deposition\C22H14 (dibenzo_ah_anthracene),C22H14 (dibenzo_ah_anthracene),"IUPAC: naphtho[1,2-b]phenanthrene, PubChem CID: 5889, CAS Number: 53-70-3"
,\Atmosphere\POPs\C22H14 (dibenzo_ah_anthracene),C22H14 (dibenzo_ah_anthracene),"IUPAC: naphtho[1,2-b]phenanthrene, PubChem CID: 5889, CAS Number: 53-70-3"
,\Atmosphere\Aerosol\Composition\C4H10O4 (erythritol),C4H10O4 (erythritol),"IUPAC: (2S,3R)-butane-1,2,3,4-tetrol, PubChem CID: 222285, CAS Number: 149-32-6"
,\Atmosphere\Total atmospheric deposition\C4H10O4 (erythritol),C4H10O4 (erythritol),"IUPAC: (2S,3R)-butane-1,2,3,4-tetrol, PubChem CID: 222285, CAS Number: 149-32-6"
,\Atmosphere\Aerosol\Composition\C6H12O6 (fructose),C6H12O6 (fructose),"IUPAC: (3S,4R,5R)-2-(hydroxymethyl)oxane-2,3,4,5-tetrol, PubChem CID: 2723872, CAS Number: 57-48-7"
,\Atmosphere\Total atmospheric deposition\C6H12O6 (fructose),C6H12O6 (fructose),"IUPAC: (3S,4R,5R)-2-(hydroxymethyl)oxane-2,3,4,5-tetrol, PubChem CID: 2723872, CAS Number: 57-48-7"
,\Atmosphere\Aerosol\Composition\C6H10O5 (galactosan),C6H10O5 (galactosan),"IUPAC: (1R,2R,3S,4R,5R)-6,8-dioxabicyclo[3.2.1]octane-2,3,4-triol, PubChem CID: 11744941, CAS Number: n/a"
,\Atmosphere\Total atmospheric deposition\C6H10O5 (galactosan),C6H10O5 (galactosan),"IUPAC: (1R,2R,3S,4R,5R)-6,8-dioxabicyclo[3.2.1]octane-2,3,4-triol, PubChem CID: 11744941, CAS Number: n/a"
,\Atmosphere\Aerosol\Composition\C6H12O6 (glucose),C6H12O6 (glucose),"IUPAC: (3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol, PubChem CID: 5793, CAS Number: 50-99-7, 921-60-8"
,\Atmosphere\Total atmospheric deposition\C6H12O6 (glucose),C6H12O6 (glucose),"IUPAC: (3R,4S,5S,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol, PubChem CID: 5793, CAS Number: 50-99-7, 921-60-8"
,\Atmosphere\Aerosol\Composition\C22H12 (inden_123cd_pyrene),C22H12 (inden_123cd_pyrene),"IUPAC: hexacyclo[16.3.1.02,7.08,21.011,20.014,19]docosa-1(22),2,4,6,8(21),9,11(20),12,14(19),15,17-undecaene, PubChem CID: 9131, CAS Number: 193-39-5"
,\Atmosphere\Total atmospheric deposition\C22H12 (inden_123cd_pyrene),C22H12 (inden_123cd_pyrene),"IUPAC: hexacyclo[16.3.1.02,7.08,21.011,20.014,19]docosa-1(22),2,4,6,8(21),9,11(20),12,14(19),15,17-undecaene, PubChem CID: 9131, CAS Number: 193-39-5"
,\Atmosphere\POPs\C22H12 (inden_123cd_pyrene),C22H12 (inden_123cd_pyrene),"IUPAC: hexacyclo[16.3.1.02,7.08,21.011,20.014,19]docosa-1(22),2,4,6,8(21),9,11(20),12,14(19),15,17-undecaene, PubChem CID: 9131, CAS Number: 193-39-5"
,\Atmosphere\Aerosol\Composition\C6H12O6 (inositol),C6H12O6 (inositol),"IUPAC: cyclohexane-1,2,3,4,5,6-hexol, PubChem CID: 892, CAS Number: 488-54-0"
,\Atmosphere\Total atmospheric deposition\C6H12O6 (inositol),C6H12O6 (inositol),"IUPAC: cyclohexane-1,2,3,4,5,6-hexol, PubChem CID: 892, CAS Number: 488-54-0"
,\Atmosphere\Aerosol\Composition\C6H10O5 (levoglucosan),C6H10O5 (levoglucosan),"IUPAC: (1R,2S,3S,4R,5R)-6,8-dioxabicyclo[3.2.1]octane-2,3,4-triol, PubChem CID: 2724705, CAS Number: 498-07-7"
,\Atmosphere\Total atmospheric deposition\C6H10O5 (levoglucosan),C6H10O5 (levoglucosan),"IUPAC: (1R,2S,3S,4R,5R)-6,8-dioxabicyclo[3.2.1]octane-2,3,4-triol, PubChem CID: 2724705, CAS Number: 498-07-7"
,\Atmosphere\Aerosol\Composition\C6H14O6 (mannitol),C6H14O6 (mannitol),"IUPAC: (2R,3R,4R,5R)-hexane-1,2,3,4,5,6-hexol, PubChem CID: 6251, CAS Number: 69-65-8, 87-78-5"
,\Atmosphere\Total atmospheric deposition\C6H14O6 (mannitol),C6H14O6 (mannitol),"IUPAC: (2R,3R,4R,5R)-hexane-1,2,3,4,5,6-hexol, PubChem CID: 6251, CAS Number: 69-65-8, 87-78-5"
,\Atmosphere\Aerosol\Composition\C6H10O5 (mannosan),C6H10O5 (mannosan),"IUPAC: (1R,2S,3S,4S,5R)-6,8-dioxabicyclo[3.2.1]octane-2,3,4-triol, PubChem CID: 10374739, CAS Number: n/a"
,\Atmosphere\Total atmospheric deposition\C6H10O5 (mannosan),C6H10O5 (mannosan),"IUPAC: (1R,2S,3S,4S,5R)-6,8-dioxabicyclo[3.2.1]octane-2,3,4-triol, PubChem CID: 10374739, CAS Number: n/a"
,\Atmosphere\Aerosol\Composition\C12H22O11 (sucrose),C12H22O11 (sucrose),"IUPAC: (2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol, PubChem CID: 5988, CAS Number: 57-50-1"
,\Atmosphere\Total atmospheric deposition\C12H22O11 (sucrose),C12H22O11 (sucrose),"IUPAC: (2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol, PubChem CID: 5988, CAS Number: 57-50-1"
,\Atmosphere\Aerosol\Composition\C12H22O11 (trehalose),C12H22O11 (trehalose),"IUPAC: (2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxane-3,4,5-triol, PubChem CID: 7427, CAS Number: 99-20-7"
,\Atmosphere\Total atmospheric deposition\C12H22O11 (trehalose),C12H22O11 (trehalose),"IUPAC: (2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxane-3,4,5-triol, PubChem CID: 7427, CAS Number: 99-20-7"
,\Atmosphere\Aerosol\Composition\C12HCl7O2 (1234678_HpCDD),C12HCl7O2 (1234678_HpCDD),"IUPAC: 1,2,3,4,6,7,8-heptachlorodibenzo-p-dioxin, PubChem CID: 37270, CAS Number: 35822-46-9, 37871-00-4"
,\Atmosphere\Total atmospheric deposition\C12HCl7O2 (1234678_HpCDD),C12HCl7O2 (1234678_HpCDD),"IUPAC: 1,2,3,4,6,7,8-heptachlorodibenzo-p-dioxin, PubChem CID: 37270, CAS Number: 35822-46-9, 37871-00-4"
,\Atmosphere\POPs\C12HCl7O2 (1234678_HpCDD),C12HCl7O2 (1234678_HpCDD),"IUPAC: 1,2,3,4,6,7,8-heptachlorodibenzo-p-dioxin, PubChem CID: 37270, CAS Number: 35822-46-9, 37871-00-4"
,\Atmosphere\Aerosol\Composition\C12HCl7O (1234678_HpCDF),C12HCl7O (1234678_HpCDF),"IUPAC: 1,2,3,4,6,7,8-heptachlorodibenzofuran, PubChem CID: 38199, CAS Number: 38998-75-3"
,\Atmosphere\Total atmospheric deposition\C12HCl7O (1234678_HpCDF),C12HCl7O (1234678_HpCDF),"IUPAC: 1,2,3,4,6,7,8-heptachlorodibenzofuran, PubChem CID: 38199, CAS Number: 38998-75-3"
