notation,name,description
km.d-1,kilometre per day,"SI derived unit of speed, SI base unit equivalent:  1000/86400 m.s-1"
m-1,per metre,"SI derived unit of quantity with dimension of reciprocal length, e.g., wave number, optical power, curvature, spatial frequency"
Bq.l-1,becquerel per litre,"Unit of radioactivity concentration, SI base unit equivalent:  0.001 s-1.m-3"
Bq.m-2,becquerel per square metre,"SI derived unit of radioactivity area concentration, SI base unit equivalent: s-1.m-2"
Bq.m-3,becquerel per cubic metre,"SI derived unit of radioactivity concentration, SI base unit equivalent: s-1.m-3"
mSv,millisievert,"SI derived unit of equivalent dose (of ionizing radiation), SI base unit equivalent: 0.001 m2.s-2"
m.s-2,metre per second squared,SI derived unit of acceleration
m2.s,square metre second,SI derived unit of sea surface wave variance spectral density
m2.s-2,square metre per square second,SI derived quantity with dimension of squared speed
m2.s.rad-1,square metre second per radian,"SI derived unit of sea surface wave directional variance spectral density, SI base unit equivalent: m2.s"
m3,cubic metres,SI derived unit of volume
m3.s-1,cubic metre per second,SI derived unit of volume flow rate or time derivative of volume
m3.m-3,cubic metre per cubic metre,"SI derived unit of volume fraction, SI base unit equivalent: 1"
m4,metre to the fourth power,"SI derived unit of the second moment of area, area moment of inertia"
m(2.3-1).s-1,metre to the two thirds power per second,SI derived unit of the quantity with dimension of L^(2/3) T-1
kg.m-1,kilogram per metre,SI derived unit of linear mass density or quantity with dimension of M L-1
kg.m-2.s-1,kilogram per square metre per second,SI derived unit of time derivative of mass area density
kg.m-3,kilogram per cubic metre,"SI derived unit of density, mass density"
kg-2.s-1,per square kilogram per second,SI derived unit of quantity with dimension of M-2.T-1
s.m-1,second per metre,SI derived unit of quantity with dimension of T. L-1
K.m.s-1,kelvin metre per second,SI derived unit of covariance of wind speed and temperature or the product of wind speed and temperature
K.m-1,kelvin per metre,SI derived unit of spatial gradient of temperature
K.m2.kg-1.s-1,kelvin square metre per kilogram per second,SI derived unit of potential vorticity
mol.mol-1,mole per mole,"SI derived unit of mole fraction, SI base unit equivalent: 1"
rad.m-1,radian per metre,"SI derived unit of spatial gradient of plane angle, SI base unit equivalent: m-2"
N.m-2,newton per square metre,"SI derived Unit of pressure or equivalent quantity, SI base unit equivalent: kg.m-1.s-2"
Pa.s-1,pascal per second,"SI derived Unit of temopral derivative of pressure, SI base unit equivalent: kg.m-1.s-3"
kPa,kilopascal,"SI derived unit of pressure, stress, equal to 1000 Pa, SI base unit equivalent: 1000 kg.m-1.s-2"
J.m-2,joule per square metre,"SI derived unit of radiant exposure, SI base unit equivalent: m2.kg.s-2"
J.kg-1,joule per kilogram,"SI derived unit of specific energy or specific potential enthalpy, SI base unit equivalent: m2.kg.s-2.kg-1"
W.m-1.sr-1,watt per metre per steradian,"SI derived unit of spectral intensity, SI base unit equivalent: m2.kg.s-2.m-1"
W.m-2,watt per square metre,"SI derived unit of heat flux density, irradiance, SI base unit equivalent: kg.s-3"
W.m-2.sr-1,watt per square metre per steradian,"SI derived unit of radiance, SI base unit equivalent: m2.kg.s-3.m-2"
W.m-2.sr-1.cm,watt per square metre per steradian per inverse centimetre,"SI derived unit of spectral radiance per wave number, wave number expressed in 100 m-1, SI base unit equivalent: 0.01 m.kg.s-3"
W.m-2.sr-1.m,watt per square metre per steradian per inverse metre,"SI derived unit of spectral radiance per wave number, SI base unit equivalent: mkg.s-3"
W.m-3.sr-1,watt per cubic metre per steradian,"SI derived unit of spectral radiance, SI base unit equivalent: 100 m-1.kg.s-3"
S.m-1,siemens per metre,"SI derived unit of spatial gradient of electric conductance, SI base unit equivalent: m-3.kg-1.s3.A2"
deg2,square degree (angle),"Unit of square of phase or plane angle, accepted for use with SI"
Bq.s.m-3,becquerel second per cubic metre,"SI derived unit of time integrated radioactivity concentration, SI base unit equivalent: m-3"
dB.m-1,decibel per metre,Unit of spatial gradient of sound intensity
dB.deg-1,decibel per degree (angle),Unit of angular gradient of sound intensity
pH_unit,pH unit,Negative decimal logarithm of the hydrogen ion activity ('effective' concentration) specified in moles per litre
N_units,N unit,"Unit of atmospheric refractivity, the refractivity, N, is related to the refractive index, n, by the formula N = 106 (n-1). N is therefore dimensionless but values computed by the formula are by convention described as being in 'N units'. (WMO Manual on Codes I.2)"
unknown,unknown,"The correct value is not known to, and not computable by, the sender of this data. However, a correct value probably exists."
kHz,kilohertz,"SI derived unit of frequency, SI base unit equivalent: 1000 s-1"
MHz,megahertz,"SI derived unit of frequency, SI base unit equivalent: 1E6 s-1"
GHz,gigahertz,"SI derived unit of frequency, SI base unit equivalent: 1E9 s-1"
THz,terahertz,"SI derived unit of frequency, SI base unit equivalent: 1E12 s-1"
umol.mol-1,micromole per mole,"SI derived unit equivalent to expressing mole fraction in ppm, SI base unit equivalent: 1E-6"
nmol.mol-1,nanomole per mole,"SI derived unit equivalent to expressing mole fraction in ppb, SI base unit equivalent: 1E-9"
pmol.mol-1,picomole per mole,"SI derived unit equivalent to expressing mole fraction in ppt, SI base unit equivalent: 1E-12"
mmol.mol-1,millimole per mole,"SI derived unit equivalent to expressing mole fraction in parts per thousand, SI base unit equivalent: 0.001"
mBq.m-3,millibecquerel per cubic metre,"SI derived unit of volumetric radioactivity concentration, SI base unit equivalent: 0.001 s-1.m-3"
umol.kg-1,micromole per kilogram,"SI derived unit of molar mass concentration, SI base unit equivalent: 1E-6 mol.kg-1"
umol.l-1,micromole per litre,"SI derived unit of molar volumetric concentration, SI base unit equivalent: 0.001 mol.m-3"
ng.m-3,nanogram per cubic metre,"SI derived unit of mass concentration, SI base unit equivalent: 1E-12 kg.m-3"
1,dimensionless,Dimensionless
rad.s-1,radian per second,"SI derived unit of angular velocity, SI base unit equivalent: s-1"
mGal,milligal,"CGS unit of acceleration, equal to one thousandth of a Gal (1 Gal = 0.01 m s-2)"
E,Eötvös,"Unit of acceleration divided by distance, 1 E = 1 mGal / 10 km"
t.ha-1,(metric) ton per hectare,"Unit of area density, equal to 0.1 kg.m-2"
psu,practical salinity unit,"Close to 1, determined by CTD"
nm,nanometre,"SI derived unit of length, SI base unit equivalent: 1E-9 m"
ppmv,parts per million by volume,"Unit of volume fraction, equivalent to SI derived unit: 1E-6"
ppbv,parts per billion by volume,"Unit of volume fraction, equivalent to SI derived unit: 1E-9"
pptv,parts per trillion by volume,"Unit of volume fraction, equivalent to SI derived unit: 1E-12"
km-1,per kilometre,"SI derived unit of quantity with dimension of reciprocal length, e.g., optical attenuation coefficients, SI base unit equivalent: 0.001 m-1"
Mm-1,per megametre,"Unit of quantity with dimension of reciprocal length, e.g., optical attenuation coefficients, SI base unit equivalent: 1E-6 m-1"
missing,missing,"The correct value is not readily available to the sender of this data. Furthermore, a correct value may not exist"
inapplicable,inapplicable,There is no value (categorical data).
ug.m-3,microgram per cubic metre,"SI derived unit of mass concentration, SI base unit equivalent: 1E-9 kg.m-3"
mg.l-1,milligram per litre,"SI derived unit of mass concentration, SI base unit equivalent: 0.001 kg.m-3"
mg.cm-3,milligram per cubic centimetre,"SI derived unit of mass concentration, SI base unit equivalent: 1 kg.m-3"
ng.kg-1,nanogram per kilogram,"SI derived unit for mass mixing ratio, equivalent to pptm or ppt, SI base unit equivalent: 1E-12"
ug.kg-1,microgram per kilogram,"SI derived unit for mass mixing ratio, equivalent to ppbm or ppb, SI base unit equivalent: 1E-9"
mg.kg-1,milligram per kilogram,"SI derived Unit for mass mixing ratio, equivalent to ppmm or ppm, SI base unit equivalent: 1E-6"
um3.cm-3,cubic micrometre per cubic centimetre,"SI derived unit for volumetric mixing ratio, equivalent to pptv, SI base unit equivalent: 1E-12"
mm3.m-3,cubic millimetre per cubic metre,"SI derived unit for volumetric mixing ratio, equivalent to ppbv, SI base unit equivalent: 1E-9"
cm3.m-3,cubic centimetre per cubic metre,"SI derived unit for volumetric mixing ratio, equivalent to ppmv, SI base unit equivalent: 1E-6"
cm-3,per cubic centimetre,"SI derived unit of specific volume, SI base unit equivalent: 1E-6 m-3"
m-3,per cubic metre,SI derived unit of specific volume
um,micrometre,"SI derived unit of length, SI base unit equivalent: 1E-6 m"
ug.l-1,microgram per litre,"SI derived unit of mass concentration, SI base unit equivalent: 1E-6 kg.m-3"
cm2,square centimetre,"Unit of area, SI base unit equivalent: 1E-4 m2"
HU,Hazen unit,Unit of color according to the Platinum/Cobalt or Apha/Hazen scale
uS.cm-1,microsiemens per centimetre,"SI derived unit of spatial gradient of electrical conductance, SI base unit equivalent: 1E-4 m-3.kg-1.s3.A2"
g.cm-3,gram per cubic centimetre,"SI derived unit of density, equivalent to kilograms per litre, SI base unit equivalent: 1000 kg.m-3"
mV,millivolt,"SI derived unit of voltage, electrical potential difference, electromotive force, SI base unit equivalent: 0.001 m2.kg.s-3.A-1"
mbar,millibar,"Unit of pressure, equal to one thousandth of a bar (0.001 bar), accepted for use with the SI"
mmHg,millimetre of mercury,"Conventional unit of pressure, equal to 133.322387415 Pa"
kcal.cm-2,kilocalory per square centimetre,"Unit of radiant exposure, equal to 4.184E7 J.m-2"
NTU,nephelometric turbidity unit,Units of turbidity from a calibrated nephelometer
MPN.ml-1,most probable number index number in 1 millilitre,Unit of expected number concentration of bacteria in the original sample based upon the statistical probability of the coincidence of microorganisms in each sample replicate
CFU.ml-1,colony-forming unit per millilitre,Unit of number concentration of viable bacteria or fungal cells in a sample as a result of a plate count test
km-1.sr-1,per kilometre per steradian,"SI derived unit of the scattering coefficient at a given direction, SI base unit equivalent: 0.001 m-1"
m-1.sr-1,per metre per steradian,SI derived unit of the scattering coefficient at a given direction
Mm-1.sr-1,per megametre per steradian,"SI derived unit of the scattering coefficient at a given direction, SI base unit equivalent: 1E-6 m-1"
mg.m-3,milligrams per cubic metre,"SI derived unit of mass concentration, equal to 1E-6 kg/m3"
m.a-1,metre per year,"Conventional unit of velocity"
