notation,name,description
m,metre,SI base unit of length
kg,kilogram,SI base unit of mass
s,second,SI base unit of time
A,ampere,SI base unit of electric current
K,kelvin,SI base unit of thermodynamic temperature
mol,mole,SI base unit of amount of substance
cd,candela,SI base unit of luminous intensity
rad,radian,"SI derived unit of plane angle, SI base unit equivalent: 1"
sr,steradian,"SI derived unit of solid angle, SI base unit equivalent: 1"
Hz,hertz,"SI derived unit of frequency, SI base unit equivalent: s-1"
N,newton,"SI derived unit of force, weight, SI base unit equivalent: kg.m.s-2"
Pa,pascal,"SI derived unit of pressure, stress, SI base unit equivalent: kg.m-1.s-2"
J,joule,"SI derived unit of energy, work, heat, SI base unit equivalent: kg.m2.s-2"
W,watt,"SI derived unit of power, radiant flux, SI base unit equivalent: kg.m2.s-3"
C,coulomb,"SI derived unit of electric charge, SI base unit equivalent: s.A"
V,volt,"SI derived unit of voltage, electrical potential difference, electromotive force, SI base unit equivalent: kg.m2.s-3.A-1"
F,farad,"SI derived unit of electrical capacitance, SI base unit equivalent: kg-1.m-2.s4.A2"
Ohm,ohm,"SI derived unit of electrical resistance, impedance, reactance, SI base unit equivalent: kg.m2.s-3.A-2"
S,siemens,"SI derived unit of electrical conductance, SI base unit equivalent: kg-1.m-2.s3.A2"
Wb,weber,"SI derived unit of magnetic flux, SI base unit equivalent: kg.m2.s-2.A-1"
T,tesla,"SI derived unit of magnetic induction, magnetic flux density, SI base unit equivalent: kg.s-2.A-1"
H,henry,"SI derived unit of electrical inductance, SI base unit equivalent: kg.m2.s-2⋅A-2"
lm,lumen,"SI derived unit of luminous flux, SI base unit equivalent: cd"
lx,lux,"SI derived unit of illuminance, SI base unit equivalent: cd.m-2"
Bq,becquerel,"SI derived unit of radioactivity, SI base unit equivalent: s-1"
Gy,gray,"SI derived unit of absorbed dose (of ionizing radiation), SI base unit equivalent: m2.s-2"
Sv,sievert,"SI derived unit of equivalent dose (of ionizing radiation), SI base unit equivalent: m2.s-2"
deg,degree (angle),"Unit of plane or phase angle, accepted for use with SI: 1 deg = (pi/180) rad"
',minute (angle),"Unit of plane or phase angle, accepted for use with SI: 1 ' = (pi/10800) rad"
'',second (angle),"Unit of plane or phase angle, accepted for use with SI: 1 '' = (pi/648000) rad"
l,litre,"SI derived unit of volume, SI base unit equivalent: 0.001 m3"
min,minute (time),"Unit of time, accepted for use with SI: 1 min = 60 s"
h,hour,"Unit of time, accepted for use with SI: 1 h = 3600 s"
d,day,"Unit of time, accepted for use with SI: 1 d = 86400 s"
t,tonne,"Unit of mass,  accepted for use with SI: 1 t = 1000 kg"
eV,electron volt,"Unit of energy, accepted for use with SI: 1eV = 1.60218 x 1E-19 J, approximately"
u,unified atomic mass unit,"Physical constant u or Da (Dalton), unit of mass"
AU,astronomical unit,"Unit of length,  accepted for use with SI: 1 au = 149597870700 m, roughly the distance from Earth to the Sun"
pc,parsec,"Astronomical unit of length, distance, 1 pc = 3.0857E16 m, approximately"
nmi,nautical mile,"Unit of Length, accepted for use with SI: 1 nmi = 1852 m"
kt,knot,"Unit of speed, accepted for use with SI: 1 kt = 1 nmi/h = (1852/3600) m.s-1"
dB,decibel,"Unit of sound intensity, accepted for use with SI"
ha,hectare,"Unit of area, accepted for use with SI: 1 ha = 10000 m2"
week,week,"Conventional unit of time, equivalent to 604800 s"
a,year,"Unit of time, equivalent to 31536000 s"
percent,per cent (%),"Dimensionless number, expressed as a fraction of 100"
permil,parts per thousand,"Dimensionless number, expressed as a fraction of 1000"
okta,eights of sky covered by cloud,"Unit of cloud amount, expressed as number of eighths of the sky dome that is covered by clouds"
deg.s-1,degree (angle) per second,"Unit of angular speed, accepted for use with SI"
degC,degree Celsius (°C),"SI derived unit of temperature, SI base unit equivalent: K"
degC.m-1,degree Celsius per metre,SI derived unit of spatial gradient of temperature per metre. SI base unit equivalent: K.m-1
degC.hm-1,degree Celsius per 100 metre,"SI derived unit of spatial gradient of temperature per 100 metre, SI base unit equivalent: 0.01 K.m-1"
DU,Dobson Unit,"Unit of column abundance of ozone in the atmosphere. One Dobson unit is equivalent of 2.69E16 molecules of ozone per square centimeter. Alternatively, 1 Dobson unit corresponds to a layer of ozone 1E-5 m thick, if the ozone were held at standard temperature and pressure (273 K, 1 atm pressure). [https://glossary.ametsoc.org/wiki/Dobson_unit]"
mon,month,Conventional unit of time duration of between 28-31 days whereby 12 months amount to one year
s-2,per second squared,SI derived unit of second order time derivative
kt.km-1,knot per 1000 metre,"Unit of spatial gradient of speed, accepted for use with SI, 1 kt.km-1 = 1852/3600000 s-1"
ft,foot,"Imperial/US unit of length, equal to 0.3048 metres approximately"
in,inch,"Imperial/US unit of length, equal to 25.4 millimetres"
dPa.s-1,decipascal per second (microbar per second),"SI derived unit of time derivative of pressure, pressure tendency, SI base unit equivalent: 0.1 kg.m-1.s-3"
cb.s-1,centibar per second,"Unit of time derivative of pressure, pressure tendency, accepted for use with SI, 1 cb.s-1 = 1000 Pa.s-1"
cb.(12h)-1,centibar per 12 hours,"Unit of time derivative of pressure, pressure tendency, accepted for use with SI, 1 cb.(12h)-1 = 10/432 Pa.s-1"
daPa,dekapascal,"SI derived unit of pressure, stress, SI base unit equivalent: 10 kg.m-1.s-2"
hPa,hectopascal,"SI derived unit of pressure, stress, SI base unit equivalent: 100 kg.m-1.s-2"
hPa.s-1,hectopascal per second,"SI derived unit of time derivative of pressure, SI base unit equivalent: 100 kg.m-1.s-3"
hPa.h-1,hectopascal per hour,"SI derived Unit of time derivative of pressure, SI base unit equivalent: 1/36 kg.m-1.s-3"
hPa.(3h)-1,hectopascal per 3 hour,"SI derived unit of time derivative of pressure, SI base unit equivalent: 1/108 kg.m-1.s-3"
nbar,nanobar,"Unit of pressure, accepted for use with the SI, 1 nbar = 1E-4 Pa"
g.kg-1,gram per kilogram,"SI derived unit of mass fraction, dimensionless, SI base unit equivalent:  0.001"
g.kg-1.s-1,gram per kilogram per second,"SI derived unit of time derivative of mass fraction, SI base unit equivalent: 0.001 s-1"
kg.kg-1,kilogram per kilogram,"SI derived unit of mass fraction, SI base unit equivalent:1"
kg.kg-1.s-1,kilogram per kilogram per second,"SI derived unit of time derivative of mass fraction, SI base unit equivalent: s-1"
kg.m-2,kilogram per square metre,SI derived unit of area density
g0,standard acceleration due to gravity,"g0 = 9.80665 m.s-2, approximately"
gpm,geopotential metre,The height of a given point in the atmosphere in units proportional to the potential energy of unit mass (geopotential) at this height relative to sea level. (AMS Glossary of Meteorology)
mm,millimetre,"SI derived unit of length, SI base unit equivalent:  0.001 m"
mm.s-1,millimetre per second,"SI derived unit of speed, SI base unit equivalent: 0.001 m.s-1"
mm.h-1,millimetre per hour,"SI derived unit of speed, SI base unit equivalent: 1/3.6E6 m.s-1"
mm6.m-3,millimetre to the sixth power per cubic metre,"SI derived unit of quantity with dimension of L3, SI base unit equivalent: 1E-9 m3"
cm,centimetre,"SI derived unit of length, SI base unit equivalent: 0.01 m"
cm.s-1,centimetre per second,"SI derived Unit of speed, SI base unit equivalent:  0.01 m.s-1"
cm.h-1,centimetre per hour,"SI derived unit of speed, SI base unit equivalent: 1/360000 m.s-1"
dm,decimetre,"SI derived Unit of length, SI base unit equivalent:  0.1 m"
m.s-1,metre per second,SI derived unit of speed
m.s-1.m-1,metre per second per metre,"SI derived unit of spatial gradient of speed, SI base unit equivalent: s-1"
m.s-1.km-1,metre per second per 1000 metres,"SI derived unit of spatial gradient of speed, SI base unit equivalent:  0.001 s-1"
m2,square metre,SI derived unit of area
m2.s-1,square metre per second,"SI derived unit of kinematic viscosity, thermal diffusivity, diffusion coefficient"
km,kilometre,"SI derived unit of length, SI base unit equivalent: 1000 m"
km.h-1,kilometre per hour,"SI derived unit of speed, SI base unit equivalent:  1000/3600 m.s-1"
