notation,path,name,description
agriculturalActivity,>Intervention>Agricultural activity,Agricultural activity,
avalanche,>Incident>Environmental>Avalanche,Avalanche,
biologicalFouling,>Incident>Environmental>Biological fouling,Biological fouling,
biomassBurningPlanned,>Intervention>Biomass burning (planned),Biomass burning (planned),
biomassBurningUnplanned,>Incident>Environmental>Biomass burning (unplanned),Biomass burning (unplanned),
construction,>Intervention>Construction,Construction,
corrosion,>Incident>Environmental>Corrosion,Corrosion,
cyberAttack,>Incident>Technical>Cyber security penetration/ virus/ worm,Cyber security penetration/ virus/ worm,
cycloneTornado,>Incident>Severe weather>Cyclone/tornado,Cyclone/tornado,
dataCommOutage,>Incident>Technical>Data communications outage,Data communications outage,
dustSandStorm,>Incident>Severe weather>Dust/sand storm,Dust/sand storm,
earthQuake,>Incident>Environmental>Earthquake,Earthquake,
environmental,>Incident>Environmental,Environmental,
equipmentCleaning,>Intervention>Equipment cleaning/ painting,Equipment cleaning/ painting,
equipmentMaintenance,>Intervention>Equipment maintenance,Equipment maintenance,
malfunction,>Incident>Technical>Equipment malfunction,Equipment malfunction,
repairReplacement,>Intervention>Equipment repair/ replacement,Equipment repair/ replacement,
equipmentVerificationCalibration,>Intervention>Equipment verification/ calibration,Equipment verification/ calibration,
erosion,>Incident>Environmental>Erosion,Erosion,
extremeCold,>Incident>Severe weather>Extreme cold,Extreme cold,
extremeHeat,>Incident>Severe weather>Extreme heat,Extreme heat,
fire,>Incident>Fire,Fire,Fire inside building
groundClutter,>Incident>Technical>Ground clutter/ signal blockage/ degradation,Ground clutter/ signal blockage/ degradation,
guanoFouling,>Incident>Environmental>Guano fouling,Guano fouling,
hail,>Incident>Severe weather>Hail,Hail,
hardwareFailure,>Incident>Technical>Hardware failure,Hardware failure,
flooding,>Incident>Severe weather>Heavy precipitation/flooding,Heavy precipitation/flooding,
windDebris,>Incident>Severe weather>High wind/ blowing debris,High wind/ blowing debris,
inapplicable,inapplicable,inapplicable,None of the codes in the table is applicable in the context of the observing facility.
incident,>Incident,Incident,An unexpected event that has (or may have) impacted the observations
infrastructureWorks,>Intervention>Infrastructure works,Infrastructure works,
infestation,>Incident>Environmental>Insect/animal infestation,Insect/animal infestation,
inspectionAuditing,>Intervention>Inspection/ auditing,Inspection/ auditing,"Corrosion of components, seizing"
intervention,>Intervention,Intervention,Human activity that has (or may have) impacted the observations
landslide,>Incident>Environmental>Land slide/mudslide,Land slide/mudslide,Hazard event
landUseChange,>Intervention>Land use change,Land use change,
magneticStorm,>Incident>Space weather>Magnetic storm,Magnetic storm,
personnelAbsence,>Intervention>Personnel absent,Personnel absent,
plannedServiceOutage,>Intervention>Planned service outage,Planned service outage,
pollution,>Incident>Environmental>Pollution,Pollution,
powerOutage,>Incident>Technical>Power outage,Power outage,
preventiveMaintenance,>Intervention>Preventative maintenance,Preventative maintenance,
radioFrequencyInterference,>Incident>Technical>Radio frequency interference,Radio frequency interference,
roadWork,>Intervention>Road work,Road work,
severeWeather,>Incident>Severe weather,Severe weather,A natural severe weather event that has (or may have) impacted the observations
snowBlizzardIcing,>Incident>Severe weather>Snow/blizzard/icing,Snow/blizzard/icing,
softwareFailure,>Incident>Technical>Software failure,Software failure,
solarFlares,>Incident>Space weather>Solar flares,Solar flares,
spaceWeather,>Incident>Space weather,Space weather,An event in outer space that has (or may have) impacted the observations
stormSurge,>Incident>Environmental>Storm surge,Storm surge,
technical,>Incident>Technical,Technical,
theft,>Intervention>Theft of equipment,Theft of equipment,
thunderstormLightning,>Incident>Severe weather>Thunderstorm/ lightning strike,Thunderstorm/ lightning strike,
tsunami,>Incident>Environmental>Tsunami,Tsunami,
unknown,>unknown,unknown,The event is unknown.
unrestStrike,>Intervention>Unrest/strike,Unrest/strike,
urbanDevelopment,>Intervention>Urban development,Urban development,
vandalism,>Intervention>Vandalism,Vandalism,
vegetationTrimming,>Intervention>Vegetation trimming/ cutting,Vegetation trimming/ cutting,
volcanicEruption,>Incident>Environmental>Volcanic eruption/ Ash,Volcanic eruption/ Ash,
