#	WMO306CD_efrs	QualityFlagSysURL_efrs	Path_e	Name_e	Definition_e
1	ascii			ASCII	"ASCII (American Standard Code for Information Interchange) is a character-encoding scheme used for text files. Plain text files are often called ""ASCII"" files."
3	nasaAmes			NASA AMES	The NASA AMES format is a set of nine ASCII-based file formats that comply with an overall common structure but make provision of different features adapted to various cases. It consists of a header and a data part.
4	hdf4			HDF4	"Hierarchical Data Format (HDF) is a set of file formats (HDF4, HDF5) designed to store and organize large amounts of data."
5	hdf5			HDF5	"Hierarchical Data Format (HDF) is a set of file formats (HDF4, HDF5) designed to store and organize large amounts of data."
6	xml			XML	Extensible Markup Language (XML) is a markup language that defines a set of rules for encoding documents in a format which is both human-readable and machine-readable.
8	csv			CSV	"A comma-separated values (CSV) file stores tabular data (numbers and text) in plain text. Each line of the file is a data record. Each record consists of one or more fields, separated by commas, hence the name for this file format."
10	netcdf			NetCDF	"A set of software libraries and self-describing, machine-independent data formats that support the creation, access, and sharing of array-oriented scientific data. http://www.unidata.ucar.edu/software/netcdf/"
12	ship			FM 13 - SHIP	Report of surface observation from a fixed sea station. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
13	synopMobil			FM14 - SYNOP MOBIL	Report of a surface observation from a mobile land station. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
14	metar			FM 15 - METAR	Aerodrome routine meteorological report (with or without trend forecast). Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
15	speci			FM 16 - SPECI	Aerodrome special meteorological report (with or without trend forecast). Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
16	buoy			FM 18 - BUOY	Report of a buoy observation. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
17	radob			FM 20 - RADOB	Report of ground radar weather observation. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
18	radrep			FM 22 - RADREP	Radiological data report (monitored on a routine basis and/or in case of accident). Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
19	pilot			FM 32 - PILOT	Upper-wind report from a fixed land station. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
20	pilotShip			FM33 - PILOT SHIP	Upper-wind report from a sea station. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
21	pilotMobil			FM 34 - PILOT MOBIL	Upper wind report from a mobile land station. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1
22	temp			FM 35 - TEMP	"Upper-level pressure, temperature, humidity and wind report from a fixed land station. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1"
23	tempShip			FM 36 - TEMP SHIP	"Upper-level pressure, temperature, humidity and wind report from a sea station. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1"
