notation,name,description
-12,UTC-12:00,Timezone with a UTC offset of UTC-12:00 hours. Locations in this timezone include Etc/GMT+12.
-11,UTC-11:00,"Timezone with a UTC offset of UTC-11:00 hours. Locations in this timezone include Pacific/Samoa, US/Samoa, Pacific/Pago_Pago, Etc/GMT+11, Pacific/Niue, Pacific/Midway."
-10,UTC-10:00,"Timezone with a UTC offset of UTC-10:00 hours. Locations in this timezone include Pacific/Honolulu, Pacific/Tahiti, America/Atka, US/Aleutian, Pacific/Johnston, Pacific/Rarotonga, US/Hawaii, Etc/GMT+10, America/Adak, HST."
-9.5,UTC-09:30,Timezone with a UTC offset of UTC-09:30 hours. Locations in this timezone include Pacific/Marquesas.
-9,UTC-09:00,"Timezone with a UTC offset of UTC-09:00 hours. Locations in this timezone include Etc/GMT+9, Pacific/Gambier, America/Nome, America/Metlakatla, US/Alaska, America/Yakutat, America/Sitka, America/Juneau, America/Anchorage."
-8,UTC-08:00,"Timezone with a UTC offset of UTC-08:00 hours. Locations in this timezone include America/Santa_Isabel, America/Vancouver, Etc/GMT+8, Mexico/BajaNorte, Canada/Pacific, America/Tijuana, PST8PDT, US/Pacific, America/Ensenada, Pacific/Pitcairn, America/Los_Angeles."
-7,UTC-07:00,"Timezone with a UTC offset of UTC-07:00 hours. Locations in this timezone include America/Cambridge_Bay, America/Fort_Nelson, America/Edmonton, America/Shiprock, America/Denver, America/Dawson_Creek, America/Phoenix, America/Mazatlan, America/Ojinaga, Canada/Mountain, America/Creston, America/Chihuahua, America/Boise, America/Dawson, America/Inuvik, America/Hermosillo, US/Mountain, MST7MDT, US/Arizona, America/Whitehorse, Mexico/BajaSur, America/Yellowknife, Etc/GMT+7, Canada/Yukon, MST, Navajo."
-6,UTC-06:00,"Timezone with a UTC offset of UTC-06:00 hours. Locations in this timezone include America/Merida, America/Monterrey, America/Mexico_City, Mexico/General, Canada/Central, America/Menominee, Pacific/Easter, America/Chicago, America/Managua, America/Costa_Rica, Pacific/Galapagos, America/Knox_IN, Etc/GMT+6, US/Central, America/Matamoros, America/El_Salvador, America/Belize, America/Rainy_River, CST6CDT, America/Indiana/Knox, America/Tegucigalpa, America/Swift_Current, America/Winnipeg, America/Resolute, America/Regina, America/Rankin_Inlet, America/Guatemala, US/Indiana-Starke, America/Indiana/Tell_City, America/North_Dakota/New_Salem, America/North_Dakota/Center, Chile/EasterIsland, America/North_Dakota/Beulah, America/Bahia_Banderas, Canada/Saskatchewan."
-5,UTC-05:00,"Timezone with a UTC offset of UTC-05:00 hours. Locations in this timezone include America/Indiana/Petersburg, America/Indiana/Vincennes, America/Indiana/Vevay, America/Jamaica, America/Indiana/Marengo, Cuba, America/Iqaluit, America/Indianapolis, America/Indiana/Winamac, America/Toronto, America/Kentucky/Louisville, America/Kentucky/Monticello, America/Lima, America/Louisville, America/Montreal, America/Nassau, America/New_York, America/Nipigon, America/Panama, America/Pangnirtung, America/Port-au-Prince, America/Porto_Acre, America/Indiana/Indianapolis, America/Thunder_Bay, Etc/GMT+5, America/Rio_Branco, America/Guayaquil, EST5EDT, America/Havana, America/Cancun, America/Detroit, America/Eirunepe, America/Coral_Harbour, America/Fort_Wayne, Brazil/Acre, Canada/Eastern, America/Bogota, US/East-Indiana, America/Atikokan, America/Grand_Turk, US/Eastern, US/Michigan, EST, America/Cayman, Jamaica."
-4,UTC-04:00,"Timezone with a UTC offset of UTC-04:00 hours. Locations in this timezone include America/Santiago, America/Santo_Domingo, America/Aruba, America/Port_of_Spain, America/Asuncion, America/Barbados, America/Puerto_Rico, America/St_Barthelemy, America/Thule, America/St_Lucia, America/St_Thomas, America/St_Vincent, America/Antigua, America/Anguilla, Canada/Atlantic, America/Tortola, Brazil/West, America/Virgin, Chile/Continental, Etc/GMT+4, Atlantic/Bermuda, America/St_Kitts, America/Blanc-Sablon, America/Halifax, America/Montserrat, America/Guyana, America/Guadeloupe, America/Grenada, America/Goose_Bay, America/Glace_Bay, America/Dominica, America/Kralendijk, America/La_Paz, America/Curacao, America/Cuiaba, America/Lower_Princes, America/Boa_Vista, America/Marigot, America/Martinique, America/Caracas, America/Manaus, America/Porto_Velho, America/Campo_Grande, America/Moncton."
-3.5,UTC-03:30,"Timezone with a UTC offset of UTC-03:30 hours. Locations in this timezone include America/St_Johns, Canada/Newfoundland."
-3,UTC-03:00,"Timezone with a UTC offset of UTC-03:00 hours. Locations in this timezone include America/Argentina/Tucuman, America/Argentina/Ushuaia, America/Miquelon, America/Argentina/Salta, America/Jujuy, America/Cordoba, Brazil/East, Atlantic/Stanley, Antarctica/Palmer, Antarctica/Rothera, America/Buenos_Aires, America/Godthab, America/Bahia, Etc/GMT+3, America/Montevideo, America/Belem, America/Fortaleza, America/Araguaina, America/Catamarca, America/Maceio, America/Punta_Arenas, America/Argentina/Rio_Gallegos, America/Argentina/Mendoza, America/Recife, America/Argentina/La_Rioja, America/Argentina/Jujuy, America/Argentina/Cordoba, America/Rosario, America/Paramaribo, America/Argentina/ComodRivadavia, America/Nuuk, America/Sao_Paulo, America/Argentina/Buenos_Aires, America/Argentina/Catamarca, America/Santarem, America/Cayenne, America/Mendoza, America/Argentina/San_Juan, America/Argentina/San_Luis."
-2,UTC-02:00,"Timezone with a UTC offset of UTC-02:00 hours. Locations in this timezone include Brazil/DeNoronha, America/Noronha, Atlantic/South_Georgia, Etc/GMT+2."
-1,UTC-01:00,"Timezone with a UTC offset of UTC-01:00 hours. Locations in this timezone include Atlantic/Azores, America/Scoresbysund, Etc/GMT+1, Atlantic/Cape_Verde."
0,UTC±00:00,"Timezone with a UTC offset of UTC±00:00 hours. Locations in this timezone include Atlantic/Canary, Atlantic/St_Helena, Atlantic/Faroe, Atlantic/Reykjavik, Atlantic/Faeroe, Atlantic/Madeira, Africa/Abidjan, Etc/GMT+0, Universal, UTC, UCT, Portugal, Iceland, Greenwich, GMT0, GMT-0, GMT+0, GMT, GB-Eire, GB, Europe/London, Europe/Lisbon, Europe/Jersey, Europe/Isle_of_Man, Europe/Guernsey, Europe/Belfast, Etc/Zulu, Etc/Universal, Etc/UTC, Etc/UCT, Etc/Greenwich, Etc/GMT0, Etc/GMT-0, Etc/GMT, WET, Zulu, Africa/Lome, Antarctica/Troll, Africa/Dakar, America/Danmarkshavn, Africa/Freetown, Africa/Bissau, Africa/Banjul, Africa/Bamako, Africa/Nouakchott, Africa/Conakry, Africa/Ouagadougou, Africa/Monrovia, Africa/Timbuktu, Africa/Accra, Africa/Sao_Tome."
