#,WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e,Path_f,Name_f,Definition_f,Path_s,Name_s,Definition_s,Path_r,Name_r,Definition_r,
4-03-04-1,nilReason,,,Not applicable,None of the codes in the table are applicable in the context of this particular observation (nilReason),,Sans objet,Aucun des codes de la table ne s’applique dans le cadre de cette observation (nilReason),,No se aplica,No se aplica ninguna de las claves de la tabla de cifrado en el contexto de esta observación en particular (indicación NIL),,Неприменимо,Ни один из кодов таблицы неприменим в контексте данного конткретного наблюдения (nilReason) (информация отсутствует),
4-03-04-2,verySmall,,,Very small,between -100 m and 100 m,,Très faible ,Entre -100 m et 100 m,,Muy baja,Entre -100 y 100 m,,Очень малая,Меджду -100 м и 100 м,
4-03-04-3,small,,,Small,Between -300 and -100 m or between 100 and 300 m,,Faible,Entre -300 et -100 m ou entre 100 et 300 m,,Baja,Entre -300 y -100 m o entre 100 y 300 m,,Малая,Между -300 м и -100 м или между 100 и 300 м,
4-03-04-4,middle,,,Middle,Between -1000 and -300 m or between 300 and 1000 m,,Moyenne,Entre -1 000 et -300 m ou entre 300 et 1 000 m,,Media,Entre -1000 and -300 m o entre 300 y 1000 m,,Средняя,Между -1000 и -300 м или между 300 и 1000 м,
4-03-04-5,large,,,Large,Between -3000 and -1000 m Between 1000 and 3000 m,,Élevée,Entre -3 000 et -1 000 m ou entre 1 000 et 3 000 m,,Elevada,Entre -3000 y -1000 m o entre 1000 y 3000 m,,Большая,Между -3000 и -1000 м или между 1000 и 3000 м,
4-03-04-6,veryLarge,,,Very large,Deeper than -3000 m or above 3000 m,,Très élevée,Au-delà de -3 000 m ou de 3 000 m,,Muy elevada,Por encima de -3000 m o por debajo de 3000 m,,Очень большая,Грубже чем -3000 м или выше 3000 м,
