#,WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e,Path_f,Name_f,Definition_f,Path_s,Name_s,Definition_s,Path_r,Name_r,Definition_r
5-08-01-01,internationalSt,,,International,NA,,International,s.o.,,Internacional,NA,,Международный,NA
5-08-01-02,primarySt,,,Primary,NA,,Primaire,s.o.,,Primario,NA,,Первичный,NA
5-08-01-03,secondarySt,,,Secondary,NA,,Secondaire,s.o.,,Secundario,NA,,Вторичный,NA
5-08-01-04,referenceSt,,,Reference,NA,,De référence,s.o.,,De referencia,NA,,Эталонный,NA
5-08-01-05,workingSt,,,Working,NA,,De travail,s.o.,,De trabajo,NA,,Рабочий,NA
5-08-01-06,transferSt,,,Transfer,NA,,De transfert,s.o.,,De transferencia,NA,,Передаточный,NA
5-08-01-07,travellingSt,,,Travelling,NA,,Voyageur,s.o.,,Itinerante,NA,,Передвижной,NA
5-08-01-08,collectiveSt,,,Collective,NA,,Collectif,s.o.,,Colectivo,NA,,Коллективный,NA
