#,WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e,Path_f,Name_f,Definition_f,Path_s,Name_s,Definition_s,Path_r,Name_r,Definition_r
1,automaticReading,,,Instrumental automatic reading,Automatically produced measurement result,,Lecture automatique de l’instrument,Résultat de mesure produit automatiquement,,Lectura automática del instrumento,Resultado de medición generado automáticamente,,Автоматическое считывание показаний прибора,Результат автоматически произведенного измерения
2,manualReading,,,Instrumental manual reading,"Manual reading of instrument, both analog and digital outputs",,Lecture manuelle de l’instrument,"Lecture manuelle de l’instrument, résultats analogiques et numériques",,Lectura manual del instrumento ,"Lectura manual del instrumento, resultados tanto analógicos como digitales",,Ручное считывание показаний прибора,"Ручное считывание показаний прибора, аналоговые и цифровые данные"
3,humanObservation,,,Human observation,"Human, non-instrumented observation",,Observation humaine,"Observation humaine, sans instrument",,Observación humana,"Observación humana, sin instrumentos",,Визуальное наблюдение,"Визуальное, неинструментальное наблюдение"
4,unknown,,,(unspecified),Procedure used to obtain result unspecified,,(non précisé),Procédure utilisée pour obtenir un résultat non précisé,,(no se especifica),No se especifica el procedimiento empleado para obtener los resultados,,(не определено),"Процедура, используемая для получения неопределенного результата"
