#,WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e,Path_f,Name_f,Definition_f,Path_s,Name_s,Definition_s,Path_r,Name_r,Definition_r
2/4/2001,igbp,,,Surface cover types (IGBP),International Geosphere-Biosphere Programme https://lpdaac.usgs.gov/products/modis_products_table/mcd12q1,,Type de couverture du sol (PIGB),Programme international géosphère-biosphère https://lpdaac.usgs.gov/products/modis_products_table/mcd12q1 ,,Tipos de cobertura terrestre (PIGB),Programa Internacional Geosfera-Biosfera (PIGB) https://lpdaac.usgs.gov/products/modis_products_table/mcd12q1,,Типы поверхностного покрова (НПГБ),Международная программа геосфера/биосфера https://lpdaac.usgs.gov/products/modis_products_table/mcd12q1
2/4/2002,umd,,,Surface cover types (UMD),The University of Maryland Department of Geography generated global land cover classification collection from 1998. http://glcf.umd.edu/data/landcover/ ,,Type de couverture du sol (UMD),Classification mondiale de la couverture terrestre par le Département de géographie de l’Université du Maryland depuis 1998. http://glcf.umd.edu/data/landcover/ ,,Tipos de cobertura terrestre (UMD),El Departamento de Geografía de la Universidad de Maryland generó una recopilación de las clasificaciones de la cobertura terrestre mundial desde 1998. http://glcf.umd.edu/data/landcover/ ,,Типы поверхностного покрова (УМД),Географический факультатет Мирилендского университета создал глобальную классификацию земного покрова с 1998 г. http://glcf.umd.edu/data/landcover/ 
2/4/2003,laifpar,,,Surface cover types (LAI/fPAR),Leaf Area Index (LAI) and Fractional Photosynthetically Active Radiation (FPAR). FPAR/LAI is the Fraction of Absorbed Photosynthetically Active radiation that a plant canopy absorbs for photosynthesis and growth in the 0.4 – 0.7nm spectral range.,,Type de couverture du sol (LAI/fPAR),"Indice de surface foliaire (LAI) et fraction absorbée du rayonnement photosynthétiquement actif (fPAR). Fraction du rayonnement photosynthétiquement actif que le couvert végétal absorbe pour la photosynthèse et la croissance dans la plage du spectre allant de 0,4 à 0,7 nm.",,Tipos de cobertura terrestre (LAI/fPAR),"Índice de área foliar (LAI) y radiación activa de fotosíntesis fraccionaria (FPAR). FPAR/LAI es la fracción de radiación activa de fotosíntesis que una cobertura vegetal absorbe para la fotosíntesis y el crecimiento en el dominio espectral de 0,4 – 0,7 nm.",,Типы поверхностного покрова (ИЛП/ДФАР),"Индекс листовой поверхности (ИЛП) и Доля фотосинтетически активной радиации (ДФАР). ДФАР/ИЛП − это доля фотосинтетически поглощенной активной радиации, которая поглощается растительным покровом в процессе фотосинтеза и роста в спектральном диапазоне 0,4−0,7 нм."
2/4/2004,npp,,,Surface cover types (NPP),Net Primary Production (NPP) lansurfaced cover scheme,,Type de couverture du sol (NPP),Classification de la couverture terrestre selon la production primaire nette,,Tipos de cobertura terrestre (PPN),Sistema de cobertura terrestre según la producción primaria neta (PPN),,Типы поверхностного покрова (ЧПП),Схема классификации земного покрова на основе чистой первичной продуктивности (ЧПП)
2/4/2005,pft,,,Surface cover types (PFT),Plant Functional Types (PFT) surface cover scheme,,Type de couverture du sol (PFT),Classification de la couverture terrestre selon le type fonctionnel de plante,,Tipos de cobertura terrestre (TFV),Sistema de cobertura terrestre según el tipo de vegetación funcional (TFV),,Типы поверхностного покрова (ФТП),Схема классификации поверхностного покрова на основе функциональных типов растений (ФТП)
2/4/2006,lccs,,,Surface cover types (LCCS),Land cover classification scheme (LCCS),,Type de couverture du sol (LCCS),Système de classification de la couverture terrestre,,Tipos de cobertura terrestre (LCCS),Sistema de clasificación de cubiertas de la tierra (LCCS),,Типы поверхностного покрова (СКЗП),Схема классификации земного покрова (СКЗП)
