#,WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e,Path_f,Name_f,Definition_f,Path_s,Name_s,Definition_s,Path_r,Name_r,Definition_r
1,unknown,,,(unknown),Source of reference time unknown,,Inconnu,Source du temps de référence inconnue,,(desconocida),Fuente de la hora de referencia desconocida,,(неизвестно),Источник времени начала отсчета неизвестен.
2,gnss,,,Global navigation satellite system (GNSS),"A Global Navigation Satellite System (GNSS) signal controlled clock, which receives a signal that comes from the atomic clock of a GNSS constellation of satellites.",,Système mondial de navigation par satellite (GNSS),"Horloge pilotée par un système mondial de navigation par satellite (GNSS), qui reçoit un signal provenant de l’horloge atomique d’une constellation GNSS de satellites",,Sistema mundial de navegación por satélite (GNSS),"Reloj controlado por las señales del Sistema mundial de navegación por satélite, que recibe una señal procedente del reloj atómico de una constelación de satélites GNSS.",,Глобальная навигационная ступниковая система (ГНСС),"Контролируемые радиосигналом часы Глобальной навигационной ступниковой системы (ГНСС), которые получают сигнал, исходящий из атомных часов группы спутников ГНСС."
3,manualComparison,,,Manual comparison,A regular procedure of manual comparison with a reference clock,,Comparaison manuelle,Procédure régulière de comparaison manuelle avec une horloge de référence,,Comparación manual,Procedimiento regular de comparación manual con un reloj de referencia.,,Неавтоматизированное сравнение,Регулярная процедура неавтоматизированного сравнения с эталонными часами.
4,radioClock,,,Radio clock,"A radio controlled clock, which receives a radio signal that comes from a reference/atomic clock.",,Horloge radio-pilotée,"Horloge pilotée par radio, qui reçoit un signal radio provenant d’une horloge de référence ou d’une horloge atomique",,Reloj radiocontrolado,Reloj controlado por radio que recibe una señal de radio procedente de un reloj de referencia/atómico.,,Радиочасы,"Радиоконтролируемые часы, которые получают радиосигнал, исходящий от эталонных/атомных часов."
5,timeServer,,,Time server (internet based),A server computer that reads the actual time from a reference/atomic clock and distributes this information to its clients using a computer network. The time server may be a local network time server or an internet time server.,,Serveur de temps (sur Internet),Serveur informatique qui recueille l’heure réelle auprès d’une horloge de référence ou d’une horloge atomique et diffuse cette information à ses clients à l’aide d’un réseau informatique. Le serveur de temps peut être un serveur local ou un serveur sur Internet.,,Servidor temporal (basado en la Internet),Un servidor que lee el tiempo real de un reloj de referencia/atómico y distribuye la información a sus clientes mediante una red de ordenadores. El servidor temporal puede ser una red local o un servidor temporal de Internet.,,Сервер времени (на основе Интернета),"Компьютерный сервер, который считывает фактическое время с эталонных/атомных часов и распределяет эту информацию своим клиентам, используя компьютерную сеть. Сервером времени может быть сервер времени местной сети или сервер времени на основе Интернета."
