#,WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e,Path_f,Name_f,Definition_f,Path_s,Name_s,Definition_s,Path_r,Name_r,Definition_r,
1,operational,,,Operational,The instrument is declared operational and subject to routine maintenance,,En service,L’instrument est déclaré en service et soumis à un entretien courant,,Operativo,El instrumento se declara operativo y está sujeto a mantenimiento rutinario,,Рабочий,Прибор заявлен готовым к работе и подлежит регламентному обслуживанию,
2,testing,,,Testing / commissioning,The instrument is deployed for testing purposes and the information provided may not be reliable,,À l’essai/mise en service,L’instrument est en place afin de procéder à des essais et l’information transmise pourrait manquer de fiabilité,,En pruebas / puesta en funcionamiento,El instrumento está instalado con fines de prueba; puede que la información facilitada no sea fidedigna,,Тестирование/заказ,"Прибор установлен для целей тестирования, и предоставленная информация не может быть надежной",
3,inactive,,,Not in service / inactive,The instrument is deployed but presently not in service,,Hors service/inactif,"L’instrument est en place, mais il n’est pas en service pour le moment",,Fuera de servicio / inactivo,"El instrumento está instalado, pero actualmente no se encuentra en funcionamiento",,Не эксплуатируется/не работает,"Прибор установлен, но в настоящее время не эксплуатируется",
