#,WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e,Path_f,Name_f,Definition_f,Path_s,Name_s,Definition_s,Path_r,Name_r,Definition_r
5-14-01,primary,,,Primary,The primary or official observation of the observed variable ,,Primaire,Observation primaire ou officielle de la variable observée ,,Principal,Observación principal u oficial de la variable observada,,Первичное,Первичное или официальное наблюдение за наблюдаемой переменной
5-14-02,additional,,,Additional,Additional or supplemented observation of the observed variable,,Additionnelle,Observation additionnelle ou supplémentaire de la variable observée,,Adicional,Observación adicional o complementaria de la variable observada,,Дополнительное,Дополнительное или вспомогательное наблюдение за наблюдаемой переменной
