notation,name,description
barren,Barren or sparse vegetation,NA
broadLeafCrops,Broad-leaf crops,NA
cerealCrops,Cereal crops,NA
deciduousBroadleafTrees,Deciduous Broadleaf trees,NA
deciduousNeedleafTrees,Deciduous Needleleaf trees,NA
evergreenBroadleafTrees,Evergreen Broadleaf trees,NA
evergreenNeedleTrees,Evergreen Needleleaf trees,NA
fillValue,Fill Value,NA
grass,Grass,NA
shrub,Shrub,NA
snowIce,Snow and ice,NA
unknown,unknown,Unknown surface cover type.
urbanBuiltUp,Urban and built-up,NA
water,Water,NA
