notation,name,description
inapplicable,inapplicable,None of the codes in the table are applicable.
unknown,unknown,The coordinates reference system is unknown.
wgs84,WGS84,"An Earth-centered, Earth-fixed terrestrial reference system and geodetic datum. Currently, WGS84 uses the EGM96 (Earth Gravitational Model 1996) geoid, revised in 2004."
