#,WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e,Path_f,Name_f,Definition_f,Path_s,Name_s,Definition_s,Path_r,Name_r,Definition_r,
5-08-03-01,inCalibration,,,no changes - in calibration,Instrument verified and found to be in calibration,,pas de changement – étalonnage conforme,L’instrument a été vérifié et son étalonnage s’est révélé conforme,,Sin cambios – calibrado,Se verificó el instrumento y se observó que estaba calibrado,,Без изменений − калиброван,Прибор проверен и признан откалиброванным,
5-08-03-02,outOfCalibration,,,no changes - out of calibration ,Instrument checked and found to be out of calibration; no changes to calibration function,,pas de changement – étalonnage non conforme ,L’instrument a été vérifié et son étalonnage s’est révélé non conforme; pas de changement à la fonction d’étalonnage,,Sin cambios - sin calibrar,Se verificó el instrumento y se observó que no estaba calibrado; no se aplicaron cambios en la función de calibración,,Без изменений − не откалиброван,Прибор проверен и признан неоткалиброванным; никаких изменений в функции калибровки,
5-08-03-03,unknown,,,no changes – calibration unknown,Instrument visited but calibration could not be carried out,,Pas de changement – étalonnage inconnu,"L’instrument a été examiné, mais il n’a pas été possible de procéder à l’étalonnage",,Sin cambios - calibración desconocida,"Se verificó el instrumento, pero no se pudo comprobar su calibración",,Без изменений − калибровка неизвестна,"Инструмент осмотрен, но провести калибровка было невозможно",
5-08-03-04,recalibrated,,,recalibrated - in calibration,Instrument checked and found to be out of calibration; instrument recalibrated (calibration function changed),,Réétalonné – étalonnage conforme,L’instrument a été vérifié et son étalonnage s’est révélé non conforme; il a été réétalonné (changement à la fonction d’étalonnage),,Recalibrado - calibrado,Se verificó el instrumento y se observó que no estaba calibrado; se recalibró el instrumento (se aplicaron cambios en la función de calibración),,Повторно откалиброван − калиброван,Прибор проверен и признан неоткалиброванным; прибор вновь откалиброван (функция калибровки изменена),
