#,WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e,Path_f,Name_f,Definition_f,Path_s,Name_s,Definition_s,Path_r,Name_r,Definition_r
5-08-02-01,onSite,,,Field calibration,Instrument control activity performed on site,,Étalonnage sur le terrain,Vérification de l’instrument réalisée sur place,,Calibración sobre el terreno,Actividad de control del instrumento realizada in situ,,Полевая калибровка,Контроль работы прибора осуществляется на месте
5-08-02-02,laboratory,,,Laboratory calibration,Instrument control activity performed in the laboratory,,Étalonnage en laboratoire,Vérification de l’instrument réalisée en laboratoire,,Calibración de laboratorio,Actividad de control del instrumento realizada en el laboratorio,,Лабораторная калибровка,Контроль работы прибора осуществляется в лаборатории
5-08-02-03,remote,,,Remote (non in-situ),Instrument control activity performed remotely,,Étalonnage à distance (non in situ),Vérification de l’instrument réalisée à distance,,Remoto (no in situ),Actividad de control del instrumento realizada de manera remota,,Дистанционное (не на месте),Контроль работы прибора осуществляется дистанционно
