#,WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e,Path_f,Name_f,Definition_f,Path_s,Name_s,Definition_s,Path_r,Name_r,Definition_r,
8-03-02-1,good,,,Good,The data has been examined and represents a reliable measurement.,,Bonne,Les données ont été examinées et représentent une mesure fiable.,,Buena,Se han examinado los datos y estos representan una medición fidedigna.,,Хорошие,Данные были проверены и представляют надежное измерение.,
8-03-02-2,poor,,,Suspect,The data should be considered as low quality and may have been rejected.,,Douteuse,Les données doivent être considérées comme douteuses.,,Dudoso,Los datos deben considerarse de baja calidad y pueden descartarse.,,Подозрительные,Данные следует рассматривать как данные низкого качества и могут быть забракованы.,
8-03-02-3,suspect,,,Estimate,The data should be treated as suspect.,,Estimée,"Les données sont une simple estimation, pas une mesure directe.",,Estimado,Los datos deben considerarse con reservas.,,Оценка,Данные следует обрабатывать в качестве подозрительных.,
8-03-02-4,unchecked ,,,Poor,The data has not been checked by any qualitative or quantitative method.,,Mauvaise,Les données sont de piètre qualité et pourraient avoir été rejetées.,,Pobre,Los datos no se han verificado por ningún método cualitativo ni cuantitativo.,,Плохие,Данные не были проверены посредством какого-либо метода определения качества или количества.,
8-03-02-5,estimate,,,Unchecked,The value has been estimated rather than measured.,,Non vérifiée,Les données n’ont pas été vérifiées par une méthode qualitative ou quantitative.,,Sin verificar,"El valor no se ha medido, se ha estimado.",,Непроверенные,"Значение было скорее оценено, а не измерено.",
8-03-02-6,missing ,,,Missing,The data is missing.,,Manquante,Les données sont absentes.,,Valor faltante,No hay datos.,,Отсутствующие,Данные отсутствуют.,
