#,WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e,Path_f,Name_f,Definition_f,Path_s,Name_s,Definition_s,Path_r,Name_r,Definition_r
1,unknown,NA,,(unknown),Quality flagging system not known,,(inconnu),Système d’indication de qualité inconnu,,(desconocido),Se desconoce el sistema de marcado de la calidad,,(неизвестно),Система маркировки качества неизвестна
2,bufr033020,http://codes.wmo.int/bufr4/codeflag/0-33-020,,WMO BUFR table 0 33 020,Quality flags are specified according to BUFR table 0 33 020 (http://codes.wmo.int/bufr4/codeflag/0-33-020),,Table de code BUFR 0 33 020 de l’OMM,Indicateurs de qualité provenant de la table BUFR 0 33 020 (http://codes.wmo.int/bufr4/codeflag/0-33-020),,Tabla BUFR 0 33 020 de la OMM,Los banderines de calidad se especifican conforme a la tabla BUFR 0 33 020 (http://codes.wmo.int/bufr4/codeflag/0-33-020),,Таблица BUFR 0 33 020 (ВМО),Флаги качества определяются по таблице BUFR 0 33 020 (http://codes.wmo.int/bufr4/codeflag/0-33-020)
3,other,NA,,Other quality flagging system,Quality flags are specified according to another system,,Autre système d’indication de qualité,Indicateurs de qualité provenant d’un autre système,,Otro sistema de marcado de la calidad,Los banderines de calidad se especifican conforme a otro sistema,,Другая система маркировки качества,Флаги качества определяются по другой системе
4,waterML2.0,http://www.opengis.net/def/waterml/2.0/quality/,,WaterML2,"Quality flags are specified according to WaterML2, http://www.opengis.net/def/waterml/2.0/quality/",,WaterML2,Indicateurs de qualité d’après la norme Water ML 2.0 (http://www.opengis.net/def/waterml/2.0/quality/),,WaterML2,"Los banderines de calidad se especifican conforme a WaterML2, http://www.opengis.net/def/waterml/2.0/quality/",,WaterML2,"Флаги качества определяются по WaterML2, http://www.opengis.net/def/waterml/2.0/quality/"
