#,WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e,Path_f,Name_f,Definition_f,Path_s,Name_s,Definition_s,Path_r,Name_r,Definition_r,
1,voiceLandline,,,Voice/landline,Voice communications using a fixed terrestrial telecommunications network,,Voix/ligne fixe,Transmission vocale à l’aide d’un réseau terrestre fixe de télécommunications,,Voz/línea terrestre,Comunicaciones por voz mediante una red de telecomunicaciones terrestre fija,,Голос/наземная линия,Голосовая связь с использованием фиксированной наземной сети связи,
2,voiceCellular,,,Voice/cellular,Voice communications using a cellular or similar terrestrial telecommunications network,,Voix/mobile,Transmission vocale à l’aide d’un réseau terrestre cellulaire ou assimilé de télécommunications,,Voz/celular,Comunicaciones por voz mediante una red de telecomunicaciones terrestre celular o similar,,Голос/сотовая,Голосовая связь с использованием сотовой или аналогичной наземной сети связи,
3,voiceRadio,,,Voice/radio,"Voice communications using a direct radio system (such as VHF, HF SSB)",,Voix/radio,"Transmission vocale à l’aide d’un système radio direct (VHF, HF BLU, etc.)",,Voz/radio,"Comunicaciones por voz mediante un sistema de radio directo (como VHF, HF BLU)",,Голос/радио,"Голосовая связь с использованием прямой радиосистемы (такой, как VHF, HF SSB)",
4,voiceSatellite,,,Voice/satellite,Voice communications using a satellite telecommunications network,,Voix/satellite,Transmission vocale à l’aide d’un réseau de satellites de télécommunications,,Voz/satélite,Comunicaciones por voz mediante una red de telecomunicaciones por satélite,,Голос/спутник,Голосовая связь с использованием спутниковой сети телесвязи,
5,dataLandline,,,Data/landline,Data communications (digital or modem) using a fixed terrestrial telecommunications network (copper or fibre),,Données/ligne fixe,Transmission de données (par voie numérique ou modem) à l’aide d’un réseau terrestre fixe de télécommunications (cuivre ou fibre),,Datos/línea terrestre,Comunicaciones por datos (digitales o por módem) usando una red de telecomunicaciones terrestre fija (cobre o fibra),,Данные/наземная линия,Передача данных (цифровая или модемная) с использованием фиксированной наземной сети телесвязи (медной или фибровой оптоволоконной),
6,dataCellular,,,Data/cellular,Data communications (digital or modem) using a cellular or similar terrestrial telecommunications network,,Données/mobile,Transmission de données (par voie numérique ou modem) à l’aide d’un réseau terrestre cellulaire ou assimilé de télécommunications,,Datos/celular,Comunicaciones por datos (digitales o por módem) usando una red de telecomunicaciones terrestre celular o similar,,Данные/сотовая,Передача данных (цифровая или модемная) с использованием сотовой или аналогичной наземной телекоммуникационной сети,
7,dataRadio,,,Data/radio,"Data communications (digital or modem) using a direct radio system (such as VHF, HF SSB, microwave)",,Données/radio,"Transmission de données (par voie numérique ou modem) à l’aide d’un système radio direct (VHF, HF BLU, hyperfréquences, etc.)",,Datos/radio,"Comunicaciones por datos (digitales o por módem) mediante un sistema de radio directo (como VHF, HF BLU, microondas)",,Данные/радио,"Передача данных (цифровая или модемная) с использованием прямой радиосистемы (такой, как VHF, HF SSB, мироволновая)",
8,dataSatGeostationary,,,Data/satellite/geostationary,Data communications (digital or modem) using a geostationary satellite service (such as METEOSAT),,Données/satellite/géostationnaire,Transmission de données (par voie numérique ou modem) à l’aide d’un satellite géostationnaire (comme METEOSAT),,Datos/satélite/ geoestacionario,Comunicaciones por datos (digitales o por módem) mediante un servicio de satélite geoestacionario (como METEOSAT),,Данные/спутник/ геостационарная,"Передача данных (цифровая или модемная) с использованием службы геостационарных спутников (такой, как METEOSAT)",
9,dataSatConstellation,,,Data/satellite/constellation,Data communications (digital or modem) using a satellite constellation service (such as IRIDIUM),,Données/satellite/constellation,Transmission de données (par voie numérique ou modem) à l’aide d’une constellation de satellites (comme IRIDIUM),,Datos/satélite/ constelación,Comunicaciones por datos (digitales o por módem) mediante un servicio de constelación de satélites (como IRIDIUM),,Данные/спутник/группа спутников,"Передача данных (цифровая или модемная) с использованием службы спутниковой группы (такой, как IRIDIUM)",
10,dataSatIntermittent,,,Data/satellite/intermittent,Data communications (digital or modem) using a satellite service with intermittent cover (such as ARGOS),,Données/satellite/intermittent,Transmission de données (par voie numérique ou modem) à l’aide d’un satellite à couverture intermittente (comme ARGOS),,Datos/satélite/intermitente,Comunicaciones por datos (digitales o por módem) mediante un servicio de satélite con cobertura intermitente (como ARGOS),,Данные/спутник/ промежуточный,"Передача данных (цифровая или модемная) с использованием спутниковой службы с промежуточным охватом (такой, как ARGOS)",
11,faxLandline,,,Fax/landline,Facsimile using fixed terrestrial telecommunications network,,Fax/ligne fixe,Fac-similé à l’aide d’un réseau terrestre fixe de télécommunications,,Fax/línea terrestre,Facsímil usando una red de telecomunicaciones terrestre fija,,Факс/наземная линия,Факсимиле с использованием сотовой или аналогичной наземной телекоммуникационной сети,
12,faxCellular,,,Fax/cellular,Facsimile using a cellular or similar terrestrial telecommunications  network,,Fax/mobile,Fac-similé à l’aide d’un réseau terrestre cellulaire ou assimilé de télécommunications,,Fax/celular,Facsímil usando una red de telecomunicaciones terrestre celular o similar,,Факс/радио,Факсимиле с использованием радио или наналогичной наземной телекоммуникационной сети,
13,faxRadio,,,Fax/radio,"Facsimile using a direct radio system (such as VHF, HF SSB)",,Fax/radio,"Fac-similé à l’aide d’un système radio direct (VHF, HF BLU, etc.)",,Fax/radio,"Facsímil usando un sistema de radio directo (como VHF, HF BLU)",,Факс/радио,"Факсимиле с использованием прямой радиосистемы (такой, как VHF, HF SSB)",
14,post,,,Post,"Physical transfer of information by postal, delivery service, courier service or similar",,Service postal,"Transfert physique d’informations par voie postale, service de livraison, service courrier ou assimilé",,Correo,"Transferencia física de información mediante servicio postal, servicio de entregas, mensajería o similares",,Почта,"Физическая передача информации почтовой службой, службой доставки, курьерской службой или аналогичной службой",
