#,WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e,Path_f,Name_f,Definition_f,Path_s,Name_s,Definition_s,Path_r,Name_r,Definition_r,
5-08-01-01,internationalStandard,,,International,NA,,International,s.o.,,Internacional,NA,,Международный,NA,
5-08-01-02,primaryStandard,,,Primary,NA,,Primaire,s.o.,,Primario,NA,,Первичный,NA,
5-08-01-03,secondaryStandard,,,Secondary,NA,,Secondaire,s.o.,,Secundario,NA,,Вторичный,NA,
5-08-01-04,referenceStandard,,,Reference,NA,,De référence,s.o.,,De referencia,NA,,Эталонный,NA,
5-08-01-05,workingStandard,,,Working,NA,,De travail,s.o.,,De trabajo,NA,,Рабочий,NA,
5-08-01-06,transferStandard,,,Transfer,NA,,De transfert,s.o.,,De transferencia,NA,,Передаточный,NA,
5-08-01-07,travellingStandard,,,Travelling,NA,,Voyageur,s.o.,,Itinerante,NA,,Передвижной,NA,
5-08-01-08,collectiveStandard,,,Collective,NA,,Collectif,s.o.,,Colectivo,NA,,Коллективный,NA,
