dct:description,rdfs:label,skos:notation,Comment,Property,Constraints,id,name
''@en,Acidity-Alkalinity,'294',,Acidity-Alkalinity,,1,Acidity-Alkalinity
''@en,"Acidity-Alkalinity, TSP",'579',with Constraint,,,2,"Acidity-Alkalinity, TSP"
'Vertical column integral of spectral aerosol absorption coefficient: AAOD = exp(-K.Îz) where K is the absorption coefficient [km-1] and Îz the vertical path [km]'@en,Aerosol Absorption Optical Depth,'314',,Absorption Optical Depth,,3,Aerosol Absorption Optical Depth
'Spectral volumetric extinction cross-section of aerosol particles.'@en,Aerosol Extinction Coefficient,'315',,Extinction Coefficient,,4,Aerosol Extinction Coefficient
'2D field of the column burden of condensed particles in the atmosphere'@en,Aerosol column burden (mass density),'361',,mass column density,,5,Aerosol column burden (mass density)
'Height of vertically localized aerosol layer above sea level'@en,Aerosol layer height,'12162',,Aerosol layer height,,6,Aerosol layer height
"'The AOD is the effective depth of the aerosol over a specified distance, from the viewpoint of radiation propagation: Vertical integral of spectral aerosol extinction coefficient AOD = exp(-K. Îz) where K is the extinction coefficient [km-1 ] and Îz the vertical path [km].'@en","Aerosol optical depth, TSP",'325',with Constraint,Optical Depth,,7,"Aerosol optical depth, TSP"
"'Selection, out of a pre-defined set of aerosol classes, that best fits an input data set (observed or modeled). The pre-defined set of aerosol classes includes specification of the particle composition, mixing state, complex refractive index, and shape as a function of particle size. The definition of aerosol type includes specification of all the classes as well as the algorithm used to choose the best fit to the input data.'@en",Aerosol type,'12169',,type,,8,Aerosol type
'Field of total column mass of volcanic ash'@en,Aerosol volcanic ash (Total column),'729',,mass column density,volcanic ash,9,Aerosol volcanic ash (Total column)
''@en,Air temperature (at specified distance from reference surface),'224',,Temperature,,10,Air temperature (at specified distance from reference surface)
'Density of the atmosphere.'@en,Atmospheric density,'39',,Atmospheric density,,11,Atmospheric density
''@en,Atmospheric pressure,'216',,Atmospheric pressure,,12,Atmospheric pressure
