dct:description,rdfs:label,skos:notation,Comment,Constraints,id,name
"'IUPAC: 1,1,1-trichloro-2,2,2-trifluoroethane, PubChem CID: 9635, CAS Number: 354-58-5, in gas phase'@en","Cl3CCF3 (1,1,1-trichloro-2,2,2-trifluoroethane, CFC-113a)",'12016',,,1,"Cl3CCF3 (1,1,1-trichloro-2,2,2-trifluoroethane, CFC-113a)"
"'IUPAC: dibromo(difluoro)methane, PubChem CID: 6382, CAS Number: 75-61-6, in gas phase'@en","CBr2F2 (dibromodifluoromethane, Halon 1202)",'12017',,,2,"CBr2F2 (dibromodifluoromethane, Halon 1202)"
"'IUPAC: 1,2-dibromo-1,1,2,2-tetrafluoroethane, PubChem CID: 31301, CAS Number: 124-73-2, in gas phase'@en","C2Br2F4 (1,2-dibromo-1,1,2,2-tetrafluoroethane, Halon 2402)",'12018',,,3,"C2Br2F4 (1,2-dibromo-1,1,2,2-tetrafluoroethane, Halon 2402)"
"'IUPAC: 1,1-dichloro-2-fluoroethane, PubChem CID: 67936, CAS Number: 430-53-5, in gas phase'@en","C2H3Cl2F (1,1-dichloro-2-fluoroethane, HCFC-141a)",'12019',,,4,"C2H3Cl2F (1,1-dichloro-2-fluoroethane, HCFC-141a)"
'All pollen taxa'@en,Total pollen,'12022',with Constraint,,5,Total pollen
'Pine family pollen'@en,Total Pinaceae,'12023',with Constraint,,6,Total Pinaceae
'Fir pollen'@en,Abies,'12024',,,7,Abies
'Spruce pollen'@en,Picea,'12025',,,8,Picea
'Larch pollen'@en,Larix,'12026',,,9,Larix
'Pine pollen'@en,Pinus,'12027',,,10,Pinus
'Cypress family pollen'@en,Total Cupressaceae,'12028',,,11,Total Cupressaceae
'Palm family pollen'@en,Total Arecaceae,'12029',,,12,Total Arecaceae
'Plane tree pollen'@en,Platanus,'12030',,,13,Platanus
'Pellitory pollen'@en,Parietaria,'12031',,,14,Parietaria
'Nettle pollen'@en,Urtica,'12032',,,15,Urtica
'Sweet chestnut pollen'@en,Castanea,'12033',,,16,Castanea
'Beech pollen'@en,Fagus,'12034',,,17,Fagus
'Oak pollen'@en,Quercus,'12035',,,18,Quercus
'Birch family pollen'@en,Total Betulaceae,'12036',,,19,Total Betulaceae
'Alder pollen'@en,Alnus,'12037',,,20,Alnus
'Birch pollen'@en,Betula,'12038',,,21,Betula
'Hornbeam pollen'@en,Carpinus,'12039',,,22,Carpinus
'Hazel pollen'@en,Corylus,'12040',,,23,Corylus
'Amaranth family pollen'@en,Total Amaranthaceae,'12041',,,24,Total Amaranthaceae
'Chenopodium (goosefoot) pollen'@en,Chenopodium,'12042',,,25,Chenopodium
'Poplar pollen'@en,Populus,'12043',,,26,Populus
'Willow pollen'@en,Salix,'12044',,,27,Salix
'Olive family pollen'@en,Total Oleaceae,'12045',,,28,Total Oleaceae
'Olive pollen'@en,Olea,'12046',,,29,Olea
'Ash pollen'@en,Fraxinus,'12047',,,30,Fraxinus
'Aster family pollen'@en,Total Asteraceae,'12048',,,31,Total Asteraceae
'Ragweed pollen'@en,Ambrosia,'12049',,,32,Ambrosia
'Mugwort pollen'@en,Artemisia,'12050',,,33,Artemisia
