subject,predicate,object
https://vocabulary.actris.nilu.no/actris_vocab/variablegeometry,http://purl.org/dc/terms/creator,https://orcid.org/0000-0002-3380-3470
https://vocabulary.actris.nilu.no/actris_vocab/troposphericslantprofile,http://www.w3.org/2004/02/skos/core#broader,https://vocabulary.actris.nilu.no/actris_vocab/variablegeometry
https://vocabulary.actris.nilu.no/actris_vocab/columnprofile,http://www.w3.org/2004/02/skos/core#broader,https://vocabulary.actris.nilu.no/actris_vocab/variablegeometry
https://vocabulary.actris.nilu.no/actris_vocab/stratosphericslantprofile,http://www.w3.org/2004/02/skos/core#prefLabel,stratospheric slant profile
https://vocabulary.actris.nilu.no/actris_vocab/pointmeasurement,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://vocabulary.actris.nilu.no/actris_vocab/troposphericcolumnintegral,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://vocabulary.actris.nilu.no/actris_vocab/variablegeometry,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://vocabulary.actris.nilu.no/actris_vocab/troposphericcolumnintegral,http://www.w3.org/2004/02/skos/core#prefLabel,tropospheric column integral
https://vocabulary.actris.nilu.no/actris_vocab/stratosphericverticalprofile,http://www.w3.org/2004/02/skos/core#broader,https://vocabulary.actris.nilu.no/actris_vocab/variablegeometry
https://vocabulary.actris.nilu.no/actris_vocab/troposphericverticalprofile,http://www.w3.org/2004/02/skos/core#broader,https://vocabulary.actris.nilu.no/actris_vocab/variablegeometry
https://vocabulary.actris.nilu.no/actris_vocab/variablegeometry,http://www.w3.org/2004/02/skos/core#inScheme,https://vocabulary.actris.nilu.no/actris_vocab/
https://vocabulary.actris.nilu.no/actris_vocab/stratosphericslantprofile,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://vocabulary.actris.nilu.no/actris_vocab/variablegeometry,http://www.w3.org/2004/02/skos/core#narrower,https://vocabulary.actris.nilu.no/actris_vocab/atmosphericverticalprofile
https://vocabulary.actris.nilu.no/actris_vocab/variablegeometry,http://www.w3.org/2004/02/skos/core#prefLabel,variable geometry
https://vocabulary.actris.nilu.no/actris_vocab/variablegeometry,http://www.w3.org/2004/02/skos/core#narrower,https://vocabulary.actris.nilu.no/actris_vocab/atmosphericcolumntotalintegral
https://vocabulary.actris.nilu.no/actris_vocab/stratosphericslantprofile,http://www.w3.org/2004/02/skos/core#broader,https://vocabulary.actris.nilu.no/actris_vocab/variablegeometry
https://vocabulary.actris.nilu.no/actris_vocab/columnpartialintegral,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
