subject,predicate,object
https://vocabulary.actris.nilu.no/actris_vocab/dry-state,http://www.w3.org/2004/02/skos/core#prefLabel,dry-state
https://vocabulary.actris.nilu.no/actris_vocab/elemental,http://www.w3.org/2004/02/skos/core#prefLabel,elemental
https://vocabulary.actris.nilu.no/actris_vocab/upward,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://vocabulary.actris.nilu.no/actris_vocab/spectral,http://www.w3.org/2004/02/skos/core#broader,https://vocabulary.actris.nilu.no/actris_vocab/variableconstraints
https://vocabulary.actris.nilu.no/actris_vocab/dry-state,http://www.w3.org/2004/02/skos/core#broader,https://vocabulary.actris.nilu.no/actris_vocab/variableconstraints
https://vocabulary.actris.nilu.no/actris_vocab/downward,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://vocabulary.actris.nilu.no/actris_vocab/volatile,http://www.w3.org/2004/02/skos/core#broader,https://vocabulary.actris.nilu.no/actris_vocab/variableconstraints
https://vocabulary.actris.nilu.no/actris_vocab/vertical,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://vocabulary.actris.nilu.no/actris_vocab/variableconstraints,http://www.w3.org/2004/02/skos/core#narrower,https://vocabulary.actris.nilu.no/actris_vocab/northward
https://vocabulary.actris.nilu.no/actris_vocab/reducedhumidity,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://vocabulary.actris.nilu.no/actris_vocab/volatile,http://www.w3.org/2004/02/skos/core#prefLabel,volatile
https://vocabulary.actris.nilu.no/actris_vocab/turbulent,http://www.w3.org/2004/02/skos/core#prefLabel,turbulent
https://vocabulary.actris.nilu.no/actris_vocab/northward,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://vocabulary.actris.nilu.no/actris_vocab/variableconstraints,http://www.w3.org/2004/02/skos/core#narrower,https://vocabulary.actris.nilu.no/actris_vocab/total
https://vocabulary.actris.nilu.no/actris_vocab/controlledhumidity,http://www.w3.org/2004/02/skos/core#prefLabel,controlled humidity
https://vocabulary.actris.nilu.no/actris_vocab/cross-wind,http://www.w3.org/2004/02/skos/core#prefLabel,cross-wind
https://vocabulary.actris.nilu.no/actris_vocab/controlledhumidity,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://vocabulary.actris.nilu.no/actris_vocab/kinetic,http://www.w3.org/2004/02/skos/core#broader,https://vocabulary.actris.nilu.no/actris_vocab/variableconstraints
https://vocabulary.actris.nilu.no/actris_vocab/dry-state,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://vocabulary.actris.nilu.no/actris_vocab/variableconstraints,http://www.w3.org/2004/02/skos/core#narrower,https://vocabulary.actris.nilu.no/actris_vocab/along-wind
https://vocabulary.actris.nilu.no/actris_vocab/non-volatile,http://www.w3.org/2004/02/skos/core#prefLabel,non-volatile
https://vocabulary.actris.nilu.no/actris_vocab/variableconstraints,http://www.w3.org/2004/02/skos/core#narrower,https://vocabulary.actris.nilu.no/actris_vocab/dry-state
https://vocabulary.actris.nilu.no/actris_vocab/elemental,http://www.w3.org/2004/02/skos/core#broader,https://vocabulary.actris.nilu.no/actris_vocab/variableconstraints
https://vocabulary.actris.nilu.no/actris_vocab/variableconstraints,http://www.w3.org/2004/02/skos/core#narrower,https://vocabulary.actris.nilu.no/actris_vocab/volatile
https://vocabulary.actris.nilu.no/actris_vocab/cross-wind,http://www.w3.org/2004/02/skos/core#broader,https://vocabulary.actris.nilu.no/actris_vocab/variableconstraints
https://vocabulary.actris.nilu.no/actris_vocab/kinetic,http://www.w3.org/2004/02/skos/core#prefLabel,kinetic
https://vocabulary.actris.nilu.no/actris_vocab/variableconstraints,http://www.w3.org/2004/02/skos/core#narrower,https://vocabulary.actris.nilu.no/actris_vocab/naturallypositivelycharged
https://vocabulary.actris.nilu.no/actris_vocab/total,http://www.w3.org/2004/02/skos/core#broader,https://vocabulary.actris.nilu.no/actris_vocab/variableconstraints
https://vocabulary.actris.nilu.no/actris_vocab/variableconstraints,http://www.w3.org/2004/02/skos/core#narrower,https://vocabulary.actris.nilu.no/actris_vocab/elemental
https://vocabulary.actris.nilu.no/actris_vocab/standardtemperatureandpressure,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://vocabulary.actris.nilu.no/actris_vocab/vertical,http://www.w3.org/2004/02/skos/core#broader,https://vocabulary.actris.nilu.no/actris_vocab/variableconstraints
https://vocabulary.actris.nilu.no/actris_vocab/,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#ConceptScheme
https://vocabulary.actris.nilu.no/actris_vocab/partial,http://www.w3.org/2004/02/skos/core#broader,https://vocabulary.actris.nilu.no/actris_vocab/variableconstraints
https://vocabulary.actris.nilu.no/actris_vocab/variableconstraints,http://www.w3.org/2004/02/skos/core#narrower,https://vocabulary.actris.nilu.no/actris_vocab/surface
https://vocabulary.actris.nilu.no/actris_vocab/variableconstraints,http://www.w3.org/2004/02/skos/core#narrower,https://vocabulary.actris.nilu.no/actris_vocab/fine-mode
https://vocabulary.actris.nilu.no/actris_vocab/naturallynegativelycharged,http://www.w3.org/2004/02/skos/core#prefLabel,naturally negatively charged
https://vocabulary.actris.nilu.no/actris_vocab/partial,http://www.w3.org/2004/02/skos/core#prefLabel,partial
