subject,predicate,object
https://vocabulary.actris.nilu.no/actris_vocab/chloroacetone,http://www.w3.org/2004/02/skos/core#prefLabel,chloroacetone
https://vocabulary.actris.nilu.no/actris_vocab/mass93organiccompounds,http://www.w3.org/2004/02/skos/core#broader,https://vocabulary.actris.nilu.no/actris_vocab/objectofinterest
https://vocabulary.actris.nilu.no/actris_vocab/objectofinterest,http://www.w3.org/2004/02/skos/core#narrower,https://vocabulary.actris.nilu.no/actris_vocab/icenucleatingparticle
https://vocabulary.actris.nilu.no/actris_vocab/PCB136,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://vocabulary.actris.nilu.no/actris_vocab/perfluorooctanesulfonicacid,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://vocabulary.actris.nilu.no/actris_vocab/objectofinterest,http://www.w3.org/2004/02/skos/core#narrower,https://vocabulary.actris.nilu.no/actris_vocab/tantalum
https://vocabulary.actris.nilu.no/actris_vocab/perfluoro-3-methyl-2-butanone,http://www.w3.org/2004/02/skos/core#prefLabel,perfluoro-3-methyl-2-butanone
https://vocabulary.actris.nilu.no/actris_vocab/2-2-3-trimethylbutane,http://www.w3.org/2004/02/skos/core#prefLabel,"2,2,3-trimethylbutane"
https://vocabulary.actris.nilu.no/actris_vocab/objectofinterest,http://www.w3.org/2004/02/skos/core#narrower,https://vocabulary.actris.nilu.no/actris_vocab/dibenzofuran
https://vocabulary.actris.nilu.no/actris_vocab/hexachlorPCB,http://www.w3.org/2004/02/skos/core#prefLabel,hexachlor PCB
https://vocabulary.actris.nilu.no/actris_vocab/carbonmonoxide,http://www.w3.org/2004/02/skos/core#prefLabel,carbon monoxide
https://vocabulary.actris.nilu.no/actris_vocab/objectofinterest,http://www.w3.org/2004/02/skos/core#narrower,https://vocabulary.actris.nilu.no/actris_vocab/PCB172
https://vocabulary.actris.nilu.no/actris_vocab/propene,http://www.w3.org/2004/02/skos/core#broader,https://vocabulary.actris.nilu.no/actris_vocab/objectofinterest
https://vocabulary.actris.nilu.no/actris_vocab/objectofinterest,http://www.w3.org/2004/02/skos/core#narrower,https://vocabulary.actris.nilu.no/actris_vocab/nitricoxide
https://vocabulary.actris.nilu.no/actris_vocab/PCB16,http://www.w3.org/2004/02/skos/core#broader,https://vocabulary.actris.nilu.no/actris_vocab/objectofinterest
https://vocabulary.actris.nilu.no/actris_vocab/methane,http://www.w3.org/2004/02/skos/core#prefLabel,methane
https://vocabulary.actris.nilu.no/actris_vocab/hexachlorocyclopentadiene,http://www.w3.org/2004/02/skos/core#prefLabel,hexachlorocyclopentadiene
https://vocabulary.actris.nilu.no/actris_vocab/PCB185,http://www.w3.org/2004/02/skos/core#broader,https://vocabulary.actris.nilu.no/actris_vocab/objectofinterest
https://vocabulary.actris.nilu.no/actris_vocab/dibenzo-a-ipyrene,http://www.w3.org/2004/02/skos/core#prefLabel,"dibenzo(a,i)pyrene"
https://vocabulary.actris.nilu.no/actris_vocab/pentachloroanisole,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://vocabulary.actris.nilu.no/actris_vocab/1-penten-3-one,http://www.w3.org/2004/02/skos/core#broader,https://vocabulary.actris.nilu.no/actris_vocab/objectofinterest
https://vocabulary.actris.nilu.no/actris_vocab/benzenediol,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://vocabulary.actris.nilu.no/actris_vocab/chromium,http://www.w3.org/2004/02/skos/core#broader,https://vocabulary.actris.nilu.no/actris_vocab/objectofinterest
https://vocabulary.actris.nilu.no/actris_vocab/C8-aromatics,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://vocabulary.actris.nilu.no/actris_vocab/PCB100,http://www.w3.org/2004/02/skos/core#prefLabel,PCB 100
https://vocabulary.actris.nilu.no/actris_vocab/chloroacetone,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://vocabulary.actris.nilu.no/actris_vocab/mass93.070organiccompounds,http://www.w3.org/2004/02/skos/core#prefLabel,mass 93.070 organic compounds
https://vocabulary.actris.nilu.no/actris_vocab/silicon,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://vocabulary.actris.nilu.no/actris_vocab/top,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://vocabulary.actris.nilu.no/actris_vocab/acerpollen,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://vocabulary.actris.nilu.no/actris_vocab/objectofinterest,http://www.w3.org/2004/02/skos/core#narrower,https://vocabulary.actris.nilu.no/actris_vocab/PCB138
https://vocabulary.actris.nilu.no/actris_vocab/m-xylene,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://vocabulary.actris.nilu.no/actris_vocab/objectofinterest,http://www.w3.org/2004/02/skos/core#narrower,https://vocabulary.actris.nilu.no/actris_vocab/2-chloro-1-1-1-2-tetrafluoroethane
https://vocabulary.actris.nilu.no/actris_vocab/C9-aromatics,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://vocabulary.actris.nilu.no/actris_vocab/beta-phellandrene,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://vocabulary.actris.nilu.no/actris_vocab/boundarylayer,http://www.w3.org/2004/02/skos/core#prefLabel,boundary layer
https://vocabulary.actris.nilu.no/actris_vocab/styrene,http://www.w3.org/2004/02/skos/core#prefLabel,styrene
https://vocabulary.actris.nilu.no/actris_vocab/perfluorotridecanoicacid,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2004/02/skos/core#Concept
https://vocabulary.actris.nilu.no/actris_vocab/objectofinterest,http://www.w3.org/2004/02/skos/core#narrower,https://vocabulary.actris.nilu.no/actris_vocab/electromagneticradiation
https://vocabulary.actris.nilu.no/actris_vocab/dechloraneplusanti,http://www.w3.org/2004/02/skos/core#broader,https://vocabulary.actris.nilu.no/actris_vocab/objectofinterest
https://vocabulary.actris.nilu.no/actris_vocab/methoxychlor,http://www.w3.org/2004/02/skos/core#prefLabel,methoxychlor
https://vocabulary.actris.nilu.no/actris_vocab/1-3-dioxolane,http://www.w3.org/2004/02/skos/core#broader,https://vocabulary.actris.nilu.no/actris_vocab/objectofinterest
https://vocabulary.actris.nilu.no/actris_vocab/objectofinterest,http://www.w3.org/2004/02/skos/core#narrower,https://vocabulary.actris.nilu.no/actris_vocab/dichlorobenzene
