dct:description,rdfs:label,skos:notation,Comment,Property,Constraints,has_ooi,has_property
"'IUPAC: 1,1,1-trichloro-2,2,2-trifluoroethane, PubChem CID: 9635, CAS Number: 354-58-5, in gas phase'@en","Cl3CCF3 (1,1,1-trichloro-2,2,2-trifluoroethane, CFC-113a)",'12016',,,,true,false
"'IUPAC: dibromo(difluoro)methane, PubChem CID: 6382, CAS Number: 75-61-6, in gas phase'@en","CBr2F2 (dibromodifluoromethane, Halon 1202)",'12017',,,,true,false
"'IUPAC: 1,2-dibromo-1,1,2,2-tetrafluoroethane, PubChem CID: 31301, CAS Number: 124-73-2, in gas phase'@en","C2Br2F4 (1,2-dibromo-1,1,2,2-tetrafluoroethane, Halon 2402)",'12018',,,,true,false
"'IUPAC: 1,1-dichloro-2-fluoroethane, PubChem CID: 67936, CAS Number: 430-53-5, in gas phase'@en","C2H3Cl2F (1,1-dichloro-2-fluoroethane, HCFC-141a)",'12019',,,,true,false
'All pollen taxa'@en,Total pollen,'12022',with Constraint,,,true,false
'Pine family pollen'@en,Total Pinaceae,'12023',with Constraint,,,true,false
'Fir pollen'@en,Abies,'12024',,,,true,false
'Spruce pollen'@en,Picea,'12025',,,,true,false
'Larch pollen'@en,Larix,'12026',,,,true,false
'Pine pollen'@en,Pinus,'12027',,,,true,false
'Cypress family pollen'@en,Total Cupressaceae,'12028',,,,true,false
'Palm family pollen'@en,Total Arecaceae,'12029',,,,true,false
'Plane tree pollen'@en,Platanus,'12030',,,,true,false
'Pellitory pollen'@en,Parietaria,'12031',,,,true,false
'Nettle pollen'@en,Urtica,'12032',,,,true,false
'Sweet chestnut pollen'@en,Castanea,'12033',,,,true,false
'Beech pollen'@en,Fagus,'12034',,,,true,false
'Oak pollen'@en,Quercus,'12035',,,,true,false
'Birch family pollen'@en,Total Betulaceae,'12036',,,,true,false
'Alder pollen'@en,Alnus,'12037',,,,true,false
'Birch pollen'@en,Betula,'12038',,,,true,false
'Hornbeam pollen'@en,Carpinus,'12039',,,,true,false
'Hazel pollen'@en,Corylus,'12040',,,,true,false
'Amaranth family pollen'@en,Total Amaranthaceae,'12041',,,,true,false
'Chenopodium (goosefoot) pollen'@en,Chenopodium,'12042',,,,true,false
'Poplar pollen'@en,Populus,'12043',,,,true,false
'Willow pollen'@en,Salix,'12044',,,,true,false
'Olive family pollen'@en,Total Oleaceae,'12045',,,,true,false
'Olive pollen'@en,Olea,'12046',,,,true,false
'Ash pollen'@en,Fraxinus,'12047',,,,true,false
'Aster family pollen'@en,Total Asteraceae,'12048',,,,true,false
