dct:description,rdfs:label,skos:notation,Comment,Property,Constraints
''@en,Total lightning density,'12001',,flash density?,
''@en,Lightning density cloud-to-ground,'12002',,flash density?,
'Atmospheric O2/N2 ratio'@en,O2/N2 ratio,'12021',,Ratio,
'Height of vertically localized aerosol layer above sea level'@en,Aerosol layer height,'12162',,Aerosol layer height,
"'Height above the surface to which atmospheric properties (wind speed, etc) or atmospheric constituents (aerosol, gases) are dispersed by turbulent vertical mixing'@en",Mixed layer height,'12163',,Mixed layer height,
''@en,Temperature,'12166',,Temperature,
'Height of the surface above ground separating the planetary boundary layer (PBL) from the free atmosphere.'@en,Height of the top of the PBL,'12168',,PBL Height,
"'Selection, out of a pre-defined set of aerosol classes, that best fits an input data set (observed or modeled). The pre-defined set of aerosol classes includes specification of the particle composition, mixing state, complex refractive index, and shape as a function of particle size. The definition of aerosol type includes specification of all the classes as well as the algorithm used to choose the best fit to the input data.'@en",Aerosol type,'12169',,type,
'The product of the total volume backscatter coefficient and the atmospheric two-way transmission of the layers between the instrument and the observed volume. The total volume backscatter coefficient is the sum of all backscatter coefficients from the atmosphere (including from molecules and particles) accounting for all polarizations. The atmospheric two-way transmission accounts for the total volume (molecular and particulate and all polarizations) extinction along the path from the instrument to the observed volume and back.'@en,Attenuated backscatter,'12248',,Attenuated backscatter,
'The ratio of the amount fraction of the water vapour in the air to the corresponding amount fraction if the air were saturated with respect to water at a particular pressure and temperature. Relative humidity is typically reported in percent (%). [Based on definition of R1490 in International Vocabulary of Meteorology (WMO-No. 182). 1992.]'@en,Relative humidity (with respect to water),'12249',,Relative humidity (with respect to water),
"'The ratio of the mass of water vapour in the air to the mass of a moist air parcel, where the mass of the moist air parcel is the sum of the mass of water vapour and the dry air. Synonym: Moisture content. [Based on definition of M1750 in International Vocabulary of Meteorology (WMO-No. 182). 1992.]'@en",Specific humidity,'12250',,Mass mixing ratio,
"'The product of the total volume backscatter coefficient and the atmospheric two-way transmission of the layers between the instrument and the observed volume presented in arbitrary units. The total volume backscatter coefficient is the sum of all backscatter coefficients from the atmosphere (including from molecules and particles) accounting for all polarizations. The atmospheric two-way transmission accounts for the total volume (molecular and particulate and all polarizations) extinction along the path from the instrument to the observed volume and back. The value of this variable in presented in relative, arbitrary units to account for observations of attenuated backscatter lacking final absolute calibrations.'@en",Relative attenuated backscatter,'12251',,Relative attenuated backscatter,
"'The radiant flux emitted, reflected, transmitted or received by a given surface, per unit solid angle per unit projected area. It is a directional quantity. Note: Historically, radiance was called \'intensity\'.'@en",Radiance,'12295',,Radiance,
"'The radiance of a surface per unit frequency or wavelength, depending on whether the spectrum is taken as a function of frequency or of wavelength. It is a directional quantity. Note: \'spectral radiance\' is also used for measurements by radiometers and spectrometers, where it means the spectral radiance incident on the instrument integrated over the normalised spectral response function of the instrument. Historically, spectral radiance was called spectral intensity.'@en",Spectral radiance,'12296',,Spectral radiance,
