WIGOS_OoI, Description, Matrix, Object_Constraints
"1,1,1-trichloroethane","IUPAC: 1,1,1-trichloroethane, PubChem CID: 6278, CAS Number: 71-55-6, in gas phase@en",Gas,
"1,1-dichloroethane","IUPAC: 1,1-Dichloroethane, PubChem CID: 6365, CAS Number: 75-34-3, in gas phase@en",Gas,
"1,1-dichloroethene","IUPAC: 1,1-Dichloroethene, PubChem CID: 6366, CAS Number: 75-35-4, in gas phase@en",Gas,
"1,2,4-trimethylbenzene","IUPAC: 1,2,4-trimethylbenzene, PubChem CID: 7247, CAS Number: 95-36-3, in gas phase@en",Gas,
"1,2-dichloroethane","IUPAC: 1,2-Dichloroethane, PubChem CID: 11, CAS Number: 107-06-2, in gas phase@en",Gas,
"1,2-dichloroethene","IUPAC: 1,2-dichloroethene, PubChem CID: 10900, CAS Number: 540-9-0, in gas phase@en",Gas,
"1,3,5-trimethylbenzene","IUPAC: 1,3,5-trimethylbenzene, PubChem CID: 7947, CAS Number: 108-67-8, in gas phase@en",Gas,
"1,3-dioxolane","IUPAC: 1,3-dioxolane, PubChem CID: 12586, CAS Number: 646-06-0, in gas phase@en",Gas,
"1-butene","IUPAC: but-1-ene, PubChem CID: 7844, CAS Number: 106-98-9, in gas phase@en",Gas,
"1-pentene","IUPAC: pent-1-ene, PubChem CID: 8004, CAS Number: 109-67-1, in gas phase@en",Gas,
"1-propanol","IUPAC: Propan-1-ol, PubChem CID: 1031, CAS Number: 71-23-8, in gas phase@en",Gas,
"2,2,4-trimethylpentane","IUPAC: 2,2,4-Trimethylpentane, PubChem CID: 10907, CAS Number: 540-84-1, in gas phase@en",Gas,
"2,2-dimethylbutane","IUPAC: 2,2-dimethylbutane, PubChem CID: 6403, CAS Number: 75-83-2, in gas phase@en",Gas,
"2,2-dimethylpropane","IUPAC: 2,2-dimethylpropane, PubChem CID: 10041, CAS Number: 463-82-1, in gas phase@en",Gas,
"2,3-dimethylbutane","IUPAC: 2,3-dimethylbutane, PubChem CID: 6589, CAS Number: 79-29-8, in gas phase@en",Gas,
"2-butenal","IUPAC: But-2-enal, PubChem CID: 20138, CAS Number: 4170-30-3, in gas phase@en",Gas,
"2-butyl nitrate","IUPAC: Butan-2-yl nitrite, PubChem CID: 13544, CAS Number: 924-43-6, in gas phase@en",Gas,
"2-methyl-1-butene","IUPAC: 2-methylbut-1-ene, PubChem CID: 11240, CAS Number: 563-46-2, in gas phase@en",Gas,
"2-methyl-2-butene","IUPAC: 2-methylbut-2-ene, PubChem CID: 10553, CAS Number: 513-35-9, in gas phase@en",Gas,
"2-methyl-3-buten-2-ol","IUPAC: 2-Methylbut-3-en-2-ol, PubChem CID: 8257, CAS Number: 115-18-4, in gas phase@en",Gas,
"2-methylbutane, iso-pentane","IUPAC: 2-methylbutane, PubChem CID: 6556, CAS Number: 78-78-4, in gas phase@en",Gas,
"2-methylfuran","IUPAC: 2-Methylfuran, PubChem CID: 10797, CAS Number: 534-22-5, in gas phase@en",Gas,
"2-methylhexane, isoheptane","IUPAC: 2-methylhexane, PubChem CID: 11582, CAS Number: 591-76-4, in gas phase@en",Gas,
"2-methylpentane","IUPAC: 2-methylpentane, PubChem CID: 7892, CAS Number: 107-83-5, in gas phase@en",Gas,
"2-methylprop-2-enal","IUPAC: 2-methylprop-2-enal, PubChem CID: 6562, CAS Number: 78-85-3, in gas phase@en",Gas,
"2-methylpropane, iso-butane","IUPAC: 2-methylpropane, PubChem CID: 6360, CAS Number: 75-28-5, in gas phase@en",Gas,
"2-methylpropene, iso-butene","IUPAC: 2-methylprop-1-ene, PubChem CID: 8255, CAS Number: 115-11-7, in gas phase@en",Gas,
"2-oxopropanal","IUPAC: 2-oxopropanal, PubChem CID: 880, CAS Number: 78-98-8, in gas phase@en",Gas,
"2-propanol","IUPAC: Propan-2-ol, PubChem CID: 3776, CAS Number: 67-63-0, in gas phase@en",Gas,
"3-carene","IUPAC: 3,7,7-trimethylbicyclo[4.1.0]hept-3-ene, PubChem CID: 26049, CAS Number: 13466-78-9, in gas phase@en",Gas,
"3-furaldehyde","IUPAC: furan-3-carbaldehyde, PubChem CID: 10351, CAS Number: 498-60-2, in gas phase@en",Gas,
