Property_Modified, Dimension, Nominal_SI_Unit, Category, Property_Constraints
absorption coefficient, L-1, m-1, quantity, 
altitude, L, m, quantity, 
amount flux, N.L-2.t-1, mol.m-2.s-1, rate, 
amount fraction, , mol.mol-1, ratio, 
angstrom exponent, , 1, quantity, absorption/scattering/extinction/OD/backscatter
area fraction, , m2.m-2, ratio, 
Asymmetry Parameter, , 1, quantity, 
backscatter coefficient, L-1, m-1, quantity, 
backscatter linear depolarization ratio, , 1, ratio, 
bidirectional reflectance, , 1, quantity, 
Brightness temperature, T, K, quantity, 
classification, , 1, classification, 
Coating Thickness, L, m, quantity, 
convective velocity scale, , 1, quantity
d13C, , percent, ratio, 
d14C, , percent, ratio, 
d18O, , percent, ratio, 
Dew Point Temperature, T, K, quantity, 
direction, , deg, quantity, 
direction of movement, , deg, quantity, 
distance, L, m, quantity, 
duration, t, s, quantity, 
effective diameter, L, m, quantity, 
effective radius, L, m, quantity, 
electrical conductivity , M-1.L-3.t3.I2, S.m-1, quantity, 
electrical current, I, A, quantity, 
emissivity, , 1, quantity, 
equivolumetric median diameter, L, m, quantity, 
extinction coefficient, L-1, m-1, quantity, 
extinction to backscatter ratio (lidar ratio), , 1, ratio, 
forward scattering coefficient, L-1, m-1, quantity, 
frequency, t-1, s-1, count, 
Friction velocity, L.t-1, m.s-1, quantity,
heat flux, M.t-3, kg.s-3, rate, 
height, L, m, quantity, 
hemispheric backscatter coefficient, L-1, m-1, quantity, 
hemispherical reflectance, , 1, quantity, 
Irradiance, M.t-3, W.m-2, quantity, 
Kinetic Energy Density, M.L-1.t-2, J.m-3, quantity, 
kinetic engergy dissipation rate, L2.t-3, m2.s-3, quantity, 
luminance, J.L-2, cd.m-2, quantity, 
mass absorption coefficient, L-1.M-1, m-1.kg-1, quantity, 
mass area density (column mass content), m.L-2, kg.m-2, quantity, 
mass concentration, M.L-3, kg.m-3, quantity, 
mass extinction coefficient, L-1.M-1, m-1.kg-1, quantity, 
mass flux, M.L-2.t-1, kg.m-2.s-1, rate, 
mass fraction, , kg.kg-1, ratio, 
mass scattering coefficient, L-1.M-1, m-1.kg-1, quantity, 
mass size distribution (dM/dlogDp), M.L-3, kg.m-3, quantity, 
mass volume density, M.L-3, kg.m-3, quantity, 
Mean Volume Radius, L, m, quantity, 
Median Volume Radius, L, m, quantity, 
number area density (column number content), L-2, m-2, quantity, 
number concentration, L-3, m-3, quantity, 
number size distribution (dN/dlogDp), L-3, m-3, quantity, 
optical depth, , 1, quantity, absorption
partial pressure, M.L-1.t-2, Pa, quantity, 
particle optical hygroscopic growth factor, , m-1.m, ratio, absorption/scattering/extinction
particle size hygroscopic growth factor, , 1, ratio, 
particle surface area concentration, L2.L3, m2.m-3, quantity, 
particulate oxidation state, , 1, ratio, 
pH, , 1, quantity, 
photolysis frequency, t-1, s-1, quantity, 
polarity, I.t.L, C.m, quantity, 
Polarized scattering Phase Function, , 1, quantity, 
Potential Temperature, T, K, quantity, virtual/liquid water/equivalent
Potential Vorticity, L2.T.t-1.M-1, m2.K.s-1.kg-1, quantity
pressure, M.L-1.t-2, Pa, quantity, 
quantum yield, , 1, ratio, 
radiance, M.t-3, W.sr-1.m-2, quantity, 
radiative flux, M.t-3, W.m-2, rate, 
rainfall rate, L.t-1, m.s-1, rate, 
reflectance, , 1, quantity, 
refractive index, , 1, quantity, 
refractive index imaginary part, , 1, quantity, 
refractive index real part, , 1, quantity, 
Relative attenuated backscatter, , 1, quantity, 
Relative humidity, , percent, quantity, 
saturation fraction, , Pa.Pa-1, ratio, 
scattering coefficient, L-1, m-1, quantity, 
Scattering Phase Function, , 1, quantity, 
secondary organic aerosol particle yield, , 1, ratio, 
single scattering albedo, , 1, ratio, 
specific humidity, , kg.kg-1, quantity, 
spectral bidirectional reflectance, , 1, quantity, 
spectral emissivity, , 1, quantity, 
spectral irradiance, M.L-1.t-3, W.m-3, quantity, 
spectral radiance, M.L-1.t-3, W.sr-1.m-3, quantity, 
spectral reflectance, , 1, quantity, 
Speed of movement, L.t-1, m.s-1, quantity, 
spherical fraction, , 1, ratio, 
surface area size distribution (dS/dlogDp), L-1, m2.m-3, quantity, 
temperature, T, K, quantity, 
u (u component of horizontal wind vector), L.t-1, m.s-1, quantity, 
v (v component of horizontal wind vector), L.t-1, m.s-1, quantity, 
velocity, L.t-1, m.s-1, quantity, 
visibility, L, m, quantity, 
volume flux, L.t-1, m3.m-2.s-1, rate, 
volume fraction, , m3.m-3, ratio, 
volume size distribution (dV/dlogDp), , L3.L-3, quantity, 
w (vertical component of wind vector), L.t-1, m.s-1, quantity, 
