id,name,dimension
0,altitude,
1,amount fraction,
2,area fraction,
3,attenuated backscattered lidar signal,
4,classification,
5,column mass content,
6,column molecular content,
7,conductivity,
8,dissipation rate,
9,effective radius,
10,equivolumetric median diameter,
11,growth factor,
12,height,
13,humidity,
14,light absorption coefficient,
15,light backscatter Ångström exponent,
16,light backscatter coefficient,
17,light backscatter linear depolarization ratio,
18,light extinction Ångström exponent,
19,light extinction coefficient,
20,light extinction to backscatter ratio,
21,light hemispheric backscatter coefficient,
22,light scattering coefficient,
23,mass absorption coefficient,
24,mass concentration,m.m-3
25,mass extinction coefficient,
26,mass flux,m.L-2
27,mass fraction,m.m-1
28,mass scattering coefficient,
29,number concentration,N.m-3
30,number size distribution,
31,optical depth,
32,particle surface area concentration,
33,photolysis frequency,
34,pressure,
35,quantum yield,
36,radiance,
37,refractive index,
38,refractive index imaginary part,
39,refractive index real part,
40,saturation fraction,
41,secondary organic aerosol particle yield,
43,single scattering albedo,
44,spherical fraction,
45,temperature,
46,vapour pressure,
47,velocity,
48,volume fraction,
49,heat flux,
50,radiative flux,
51,volume flux,
52,amount flux,
53,direction,?
54,distance,L
